What changes would you recommend to improve this course?,Label,What did you like best about your instructors teaching?,Label,What did you like least about your instructor’s teaching?,Label,"Any further, constructive comment: ",Label
"chill time probably. what i mean with that is like, not just read all and explain all topics, but like take his time to actually consider if the students digested the topics. give time to elaborate and slow down with topic switch. ",Acceptance,"he explains topic well and responds to questions that are being asked. i also kind of like that he uses literal word for word from modules to exam, but then makes us learn nothing. more on memorization and remembering words, more than digesting the actual lesson. ",Disappointment,"his exams are so out of the expected, its like even if u study well its still not certain whether you'll pass, he likes including graphs and tables or drawings on the exams (we suffered) and all i can say is that, he likes giving us quiz/exam with the parts he/we didnt focus on while we were in discussion days. also he's so fast paced. like super fast, i take down notes i cant even catch up with him T___T and he's still so scary, but i like how he disciplines the class. ",Select---,"sir made 2 mistakes already with checking both my quiz and exams, (he wronged my right answers, didn't recorrect it with him cause he's scary T^T) he was my prof for 2 subjects already. he gives really low grades haha T__T . (he's my only 2.# in every sem along with 2 other profs, one is his wife T___T) its hard to enjoy his sub for the fact that i think he enjoys making his student suffer with his subject. (its my observation okay?) he isnt that considerate also, pretty mid with teaching. very scary with both as a prof and with grade giving. (he failed half of our class because of the surprise finals, which we thought was just a simple quiz day, i did well and was thankful that i didn't fail, but still, its pretty odd). ",Select---
to be less PPT oriented course,Boredom,"the instructor is very understanding and cares about the student, 
strict during exams but doesn't give a lot of pressure to the students",Joy,"PPT oriented, too much PPT knowledge less on the actual knowledge on how we apply it in real life scenario",Select---,no,Select---
Maybe the time management,Disappointment,"On how he is very chill, yet strict in teaching, submitting and checking of outputs.",Acceptance,He’s running out of time.,Select---,None,Select---
letting us know the exact time of our class meeting,Acceptance,"the professor is very understanding and knows his student very well.
gives a real-life scenario so we can apply it when we work in real life
doesn't focus much on PPT and focuses on actual idea of the PPT, this gives students more knowledge about the PPT itself rather than understanding the words on the PPT",Joy,nothing. SIR JASON BEST PROF! <3<3,Select---,WE LOVE [PROFESSOR]! <3<3<3,Select---
On how she teaches,Disappointment,Approachable,Satisfaction,Low tone of voice,Select---,None,Select---
"to provide us with more knowledge before starting our project, rather than beginning with no understanding and working on it blindly.",Disappointment,"-the instructor knows his subject very well and teaches us the knowledge he has including the basic.
-the instructor gives us time to finish our project rather than rushing us.
-understands us as a student, doesn't give heavy project. ",Acceptance,the instructor does not manage class time effectively,Select---,"very understanding, always in a good mood.",Select---
to have a clear and more understandable PPT,Acceptance,"the instructor teaches us like we are in a network engineering school
the instructor knows the subject very well
gives us time to finish our assignments
gives clear instruction for our assignments making it easy for us to do it on our own
giving us more than enough knowledge for the subject
even tho the PPT is hard to understand he still explains it anyway and ensures us that we understand the lesson",Joy,the PPT is not easy to understand,Select---,"[PROFESSOR] very student friendly, always good mood! ",Select---
Be updated to the current trend of tech world.,Acceptance,Real-time learning examples.,Joy,"He takes too time to decide what example to show us. Also he did not make too much time for us because his wife is pregnant which is acceptable but he made us try a lot of things in a span of hours without teaching those lessons and the time given to us was i think less than 10 hours(which is highly acceptable), But we had face to face class until 7pm so we only had less than 4hrs to do it.",Select---,Wish he had more time to meet us.,Select---
"It would be better if we could have some feedback on the assignments and the files we send, to check how we fare in the subject. But overall, the course is good.",Satisfaction,"The dynamic way the professor would teach, especially in a lecture since he comes up with ways to relate the subject to what we already know.",Joy,N/A,Select---,N/A,Select---
Take time teaching before giving projects (website project),Disappointment,Hands on activity,Satisfaction,Lack of lessons on hands on activity (JavaScript),Select---,None,Select---
The course itself is fun but the time of our instructor to teach us that is what needs to improve,Disappointment,Giving us some activities related to what he is teaching,Satisfaction,his lack of time teaching us.,Select---,I fully understand that because of some personal reasons our professor was not able to attend his class because he needs to be personally the one to process and also with the meetings but I hope that would be improved. The subject is indeed fun but the lack of teaching is making the subject least interesting.,Select---
None,Null,Approachable,Satisfaction,None,Select---,Nothing,Select---
More hands on programming,Acceptance,Questions before going to the next topic,Satisfaction,Nothing,Select---,None,Select---
More engaging activities.,Acceptance,"That they relate the previous topic discussed to the current topic, it helps us students refresh ourselves and connect the dots to the current topic.",Joy,That their delivery of the topic is not as dynamic and engaging reading the powerpoint on their laptop presented to us on the whiteboard via projector with a monotonous tone.,Select---,"The explanations are ok, but a variety in tone and activities can definitely help students feel more engaged.",Select---
Nothing,Null,[PROFESSOR] explains the topics presented in a compact and easy to understand manner,Joy,Nothing,Select---,Nothing,Select---
none,Null,How he explains the problems with real life situations to better understand the concept of the problem or syntax of code,Joy,none,Select---,none,Select---
Nobe,Null,About the harm the internet cause,Irrelevant,It's easy to understand,Select---,None,Select---
No change is the best,Satisfaction,Very smooth and understanding prof,Joy,"A guider, understanding, smooth teaching, ",Select---,THANKYOU SIR FOR TEACHING US 💟,Select---
None,Null,Approachable,Satisfaction,None,Select---,None,Select---
na,Null,Explaining the lesson using there own knowledge,Acceptance,na,Select---,na,Select---
lacking of actual lessons and no unnecessary projects that do not relate to the subject,Disappointment,interactive classes during laboratories,Satisfaction,not showing up to classes when needed,Select---,"please, when you are not coming to class, give a reason why, just like us when we're absent.",Select---
a more engaging teacher,Acceptance,none,Null,his voice and student-teacher interaction,Select---,none,Select---
Change the instructor.,Disappointment,Nothing.,Null,"Getting online ppt and distribute to the students, then the student will report the lesson.",Select---,"She must attend our class, we didn't learn anything from her.",Select---
"probably, actually teaching. ",Disappointment,none.,Null,"not meeting the class, assigning reports to students to avoid teaching, assigning a heavy task almost on par with our SE ( which would be passable if she actually taught us something)",Select---,"this instructor not only threw several subjects but failed miserably in teaching anything in the class, relied on students to teach themselves, can't even provide good feedback after each student reports. The advance db foundations aren't met, we had to learn it in other subjects and other resources. ",Select---
"Nothing, the course is perfect for student to understand Social issues and professional practice",Satisfaction,He's very attentive and always interact with students,Joy,Nothing,Select---,Nothing,Select---
...,Null,...,Null,...,Select---,Sodium,Select---
na,Null,na,Null,na,Select---,na,Select---
None,Null,Attentive,Acceptance,Learning about the subject is easy becauss of the teachee,Select---,No,Select---
"Nothing, [PROFESSOR] is already perfect",Satisfaction,Excitement when teaching,Joy,A bit fast in explaing,Select---,None,Select---
None,Null,"[PROFESSOR] always elaborates our lessons with real-life scenarios and relatable happenings, making every information easier to absorb.",Joy,None,Select---,None,Select---
Learning materials and the way to teach on the subjects along with activities related to every lesson,Acceptance,None,Null,Teaching the lesson like reading a story from Disney,Select---,None,Select---
"more hands on example, like real scenario ",Acceptance,"kind, transparent , and the ability to make complex concepts accessible through clear explanations, engaging real-world examples, and a willingness to answer questions patiently",Joy,none,Select---,thank you for teaching us [PROFESSOR],Select---
NAp,Null,teaching about PHP programming,Acceptance,NA,Select---,NA,Select---
Give opportunity for the lower scores in exams,Acceptance,More on visual,Acceptance,At least demo,Select---,N/A,Select---
None,Null,"[PROFESSOR] was always hands on when it comes to teaching, and he's patient even to those who are slow in programming, like me. ",Joy,None,Select---,None,Select---
N/A,Null,N/A,Null,N/A,Select---,N/A,Select---
None,Null,None,Null,None,Select---,"1.While project-based learning is valuable, I feel that key concepts and foundational knowledge are not being adequately covered in class. More comprehensive lectures would help students better understand the material.
2. Some projects seem unrelated to the course syllabus, making it challenging to connect them to the course objectives. Aligning projects with learning outcomes would enhance our understanding of the subject matter.",Select---
none,Null,very understandable and very good ways of teaching their students,Joy,7 AM class,Select---,none,Select---
None,Null,Explaining the topics in a way that everyone will understand,Joy,Groupworks,Select---,None,Select---
N/A,Null,N/A,Null,N/A,Select---,N/A,Select---
"she was our core/starter subject in first year, introduction to computing was her subject and computer programming 1 too i think and like for me it wasnt really that good. she doesnt excel with teaching hands on codes that much, but shes definitely good with explaining topics like how she is with electives 1. maybe when she's kind of more engaging and like interactive with students, she'll be alright.",Disappointment,"she explains well, interacts with interactive students also, she answers questions well. and what lessons she taught us would exactly come out of the exam and quizzes too. she's considerate also with deadlines, but not towards quiz/exams though T_______T. like if you misspell answers like missing 's' or other stuff, its wrong HAHAHAH, but it's fine though.",Joy,"she doesnt care as much, like she's fine with people at the back talking or sleeping, and not participating at all. i cant blame them though since its really plain and quiet when she teaches us. mostly reading whats on the ppt and elaborating each sentences, next thing you know we got quiz/exam next meet. (she's the same with [PROFESSOR], where today read elaborate lesson, next meet quiz. or sometimes just give out the ppts and modules then quiz directly)",Select---,"she was my prof for 3 subjects i think? or 4? im not sure. pandemic days were a hassle, but with face to face class i can see that she's kind of okay with teaching. seems a bit off still with the read all explain all lessons. and most of her classes makes half of our class sleepy T___T she talks so slow (total opposite with sir arip) and its not that encouraging to listen to the topics, but if we look at how she teaches us, she's doing well. she answers questions also and elaborates more when needed. ",Select---
none,Null,they would explain the topic very thoroughly and making it very easy to understand,Joy,"they would sometimes go overtime during their lectures, but understandable due to the subject being explained thoroughly",Select---,"maybe go a bit slower on the explanation, but other than that I loved the subject and would love to have you again as an instructor",Select---
N/A,Null,N/A,Null,N/A,Select---,N/A,Select---
NA,Acceptance,NA,Null,NA,Select---,NA,Select---
"base on the previous sem (which is he is our ds 118 professor-- sir, before you post the grades on the portal, please send it first to the class gc so we can comply  if there is anything wrong:))",Null,his real life examples connected to the lesson/discussion,Acceptance,none,Select---,none,Select---
N/A,Null,N/A,Null,N/A,Select---,N/A,Select---
N/A,Null,N/A,Null,N/A,Select---,N/A,Select---
N/A,Null,N/A,Null,N/A,Select---,N/A,Select---
None,Null,"Approachable, chill and good teaching",Satisfaction,Too fast in teaching sometimes,Select---,None,Select---
none,Null,the consistent recitations during lessons for us to really study and understand what is being taught to be able to answer,Acceptance,none,Select---,none,Select---
"more on after lesson activities (like hands on coding, that [PROFESSOR] was already doing in database subject), even if its not graded, just so we know how and whats the purpose of the topic we had just discussed. ",Acceptance,"he explains well, a good bully also HAHAHAHA which is fun cause it ease up the tension and nervousness. he elaborates stuff, answers question good. and also good with throwing out questions (for that one time in reporting day). ",Joy,"dropping all works, activities, and modules in one day T____T, then all due next week or next meet or today or tomorrow. it's suffocating me HAHAHAHAHA, but it's fine though makes me thrilled with my time management skills.",Select---,"sir i know you'll read this but u said honest, so i'll be completely honest as i was for the past profs i evaluated also. everything i rated was solely based on my observations when we met for classes (which is super rare, but understandable cause of your schedule and everything) as a prof, you were really encouraging with your words, and how you make adjustments for everyone. i appreciate all the extended time for submissions and for the neat and clear instructions and announcements every time. i like also when you keep being nice to us in a way you make us feel that we're more than just a student, that we also need to enjoy life and be safe always. and i thank you for that but as a student in like the real school learning scenario, i am not really learning that well specially that you were obviously expecting us to know stuff from the previous courses we took (which is sad also cause i am not learning that much too). the modules were helpful but im kind of dyslexic and i struggle with reading so much letters in one page hence me struggling with most stuff since its more on reading. your exams also are like out of the blue HAHAHAHA. i mean its hard when you get bombarded with 10 modules and expect to fully digest everything. which is not your fault at all, but it would be nice to have a prof, that could guide us (not being spoonfed, thats totally different) with topics specially that we didnt have that much coding experience, like really. but in this class. i learned how to code through yts tutorial and my bff AI. most of the projects i did for both class, AI was a big help. but i think it kind of set us all off because we're not actually learning each and everything. more like we just learning the general part of coding. so i cant really say that i am good with it cause im not. i cant really rate you for how you teach us, cause were really not doing the usual classes, but i had fun with your subject and the days we had class. specially the random days where we do coding for nothing but just learning (database cmd). its fun and i get to understand everything. ",Select---
None,Null,Interactive teaching.,Satisfaction,None,Select---,None,Select---
"Since the course is called Advance Database, it should teach the students proper Advance Database topics and concepts that can expand the student's knowledge and understanding of CC104.",Disappointment,"Nothing, since the instructor didn't teach us anything from the start.",Disappointment,"Throughout the course, I found the instructor's teaching methods to be very ineffective. The explanations and instructions were often unclear, and there were no lectures since the instructor only made the students report a random topic, which became our basis for exams and quizzes. The instructor also lacks engagement and interest during classes. Additionally, the instructor was unresponsive to questions and did not provide adequate support for clarification of students.",Select---,"The chance for learning Advanced Database through this course was wasted. We had a great time learning database concepts [PROFESSOR], and expectations were high for this subject since cc104 was the pre-requisite, but unfortunately we learned nothing through this course as the instructor always doesn't attend classes, doesn't give timely updates, and doesn't teach what the subject should teach the students and just masks it behind unreasonable projects, full identification/enumeration quizzes, and exams from ppts discussed by other students without teaching anything.",Select---
Learning materials and the way a prof teaches the course,Acceptance,None,Null,Teaching the course like reading it as a story and when explaining it will go on different directions and not related to his/her course anymore,Select---,None,Select---
N/A,Null,N/A,Null,N/A,Select---,"The Best ka talaga Sir hehe, Happy New year po <3",Select---
None,Null,Full attentiveness and keeps the class more alive,Joy,None,Select---,None,Select---
more group activities/quicker pace on lessons,Acceptance,he gives good examples and fair/subtle hints on solving problems during excersises,Acceptance,none,Select---,"none, he does his job well",Select---
More hands on activities with proper guidance and effort from the instructor.,Disappointment,None,Null,None,Select---,None,Select---
None,Null,Very professional,Satisfaction,None,Select---,None,Select---
Acknowledge different coding standard,Acceptance,Hands on activities,Satisfaction,Nothing,Select---,Great teacher!,Select---
Nothing,Null,His explanations are very clear and easy to understand,Joy,Nothing,Select---,None,Select---
More reliable source or instructions.,Acceptance,I like the part when then intructor is open on students when asking question and after class.,Joy,None,Select---,None,Select---
N/A,Null,[PROFESSOR] Explained the topic clearly with real life situations as an Example. It Gives the Student/s or rather me a more clear perspective and further understanding regarding the topics being discussed that could affect or influence how we/I view our society and one's beliefs. It helps me learn something new and further enhance what I've known so far.,Joy,N/A,Select---,N/A,Select---
None,Null,Visual presentations are pleasing to the eyes,Acceptance,None,Select---,None,Select---
None,Null,Very interactive with students,Joy,None,Select---,None,Select---
"None, the instructor taught us well.",Satisfaction,Perfectly discuss complex sections of topics into simple and engaging way that puts away boredom while ensuring that students can easily digest information.,Joy,None,Select---,None,Select---
None,Null,Explains everything thoroughly,Joy,None,Select---,None,Select---
None,Null,He can give information about the lessons and it's easy to understand,Joy,None,Select---,None,Select---
None,Null,Able to simplify complex information into simple and easily digestible details.,Joy,None,Select---,None,Select---
None,Null,Gives ample time to work on something,Acceptance,None,Select---,None,Select---
Be more resourceful and make more time for the class.,Acceptance,Being calm and attentive.,Satisfaction,Nothing,Select---,Very good.,Select---
None,Null,"Excellently explains complex topics and turn them into simple, more digestible information and often provides comprehensive analogies to ensure that students can further process the information well.",Joy,None,Select---,None,Select---
Maybe sort of redundancy,Boredom,His way of teaching. He really elaborate and enlightened us in every topic. And also he is going with the flow with the jokes.,Joy,Nothing,Select---,"[PROFESSOR] is really a professional, he do not answer phone calls during his lecture time even though it will still ring for many times after he declined those calls.",Select---
More time to discuss and be detailed in explaining some codes.,Acceptance,He's funny and entertaining when it comes to teaching.,Joy,Nothing.,Select---,Ok lang.,Select---
#NAME?,Irrelevant,Very interactive with students specially outside of the room or after the discussion,Joy,None,Select---,None,Select---
Learning materials and the way a prof teaches the course and activities related to the course outcome,Acceptance,None,Null,If the code isn't working he'll make it as an activity,Select---,None,Select---
NA,Null,How he explain the lesson very well,Joy,NA,Select---,NA,Select---
NA,Null,NA,Null,NA,Select---,NA,Select---
Improve the time management of some instructor because a lot of time they are busy,Disappointment,"[PROFESSOR] thoroughly explains the lessons, making them simpler to comprehend.",Joy,Nothing that i could remember,Select---,[PROFESSOR] is a good instructor over all,Select---
More related activities,Acceptance,"He guides students to learn, and answers questions given by student while giving live example ",Joy,None,Select---,None,Select---
none,Null,approachable,Satisfaction,none,Select---,none,Select---
Time management of some instructors,Disappointment,"[PROFESSOR] thoroughly explains the instruction for every activity, making them simpler to comprehend and for us to be able to pass the activity on time.",Joy,There are a couple of due date that is so short that we had a difficulty passing the activity,Select---,Overall [PROFESSOR] is a great instructor,Select---
The course is good,Satisfaction,"The teaching method and the ability to understand the students needs like for example is the due date or our project, it help us makes a better project because of the due date that the instructor gave us and just being considerate to the students",Joy,Nothing,Select---,Overall [PROFESSOR] is a great instructor,Select---
Lesson materials,Acceptance,Gives proper instructions and guide students on their projects or assignment and listens to students concerns,Satisfaction,None,Select---,None,Select---
less reporting. more teaching of real-world database application or guidance.,Acceptance,Respectfully none.,Null,"Too strict, instead of just giving a student a deduction of points for mistake, the instructor just completely disregarded the students effort/cost into making the projects/assignment, by not accepting it.",Select---,none,Select---
None,Null,"Very Clear, Precise, And not Boring.",Joy,None.,Select---,None.,Select---
nothing,Null,open to communicate,Acceptance,nothinh,Select---,none,Select---
Latest learning materials,Acceptance,He guides students who has concerns about the lesson and give an advice or idea about their concerns,Acceptance,Di namimigay mani si sir,Select---,None,Select---
onsite coding examples and have more teaching time,Acceptance,taught the lessons very well and give extensions on project deadlines,Joy,less teaching time,Select---,none,Select---
N/A - I find the course to be well-designed and effective as it is. No changes are necessary.,Satisfaction,"I like how our instructor communicates clearly and delivers lessons effectively, making the topics easy to understand and engaging.",Joy,N/A,Select---,"Overall, I am very satisfied with the course and the instructor's teaching. The lessons are well-structured, engaging, and can be applied and used for future purposes. I appreciate the effort put into making the topics relatable and practical. Keep up the excellent work, [PROFESSOR]!",Select---
Like teaching the whole basics of coding not only the basics but the basics function of it,Acceptance,The way he teach or present the pdf topic one by one without skipping or he ask first the students if they know about this part of the topic then proceed to the next part.,Select---,Lack of time of teaching,Select---,Nothing,Select---
Teaching about a certain programming language and make  a sample code,Acceptance,"When he give a task that are new to us students and the more we struggle,the more we learn.We work indepently,which is good for our gradual improvement and learning..",Select---,None,Select---,"More time for teaching because im very interested in the things i still need to learn,or we stkll need to learn",Select---
nothing,Null,cant really say I have one,Satisfaction,hard to approach for question,Select---,thats all,Select---
Nothing,Null,Interactive,Acceptance,nothing,Select---,nothing,Select---
"Not sure, But keeping it on heavy practical activities is a good thing. ",Acceptance,He's giving us more on practical application such as practical activities and exams rather than just concepts. That's more valuable.,Null,I can't any.,Select---,None.,Select---
Nope,Null,Engaging,Satisfaction,nothing,Select---,nope,Select---
More time in teaching databases,Acceptance,"We practice making,solving and how to implement an entity and attributes.",Satisfaction,"He moves on the next task so quickly,rven though we haven't finished the current one yet.Or maybe we are just really slow at typing.hehe..",Select---,"For me,we need more time in learningbecause i feel like we are significanlty behind in our learning po.Most of the topics now or in the upcoming semester seems to lack the basic foundation that we should have learned and taught before.i hope you understand sir.",Select---
NOTHING,Null,PASSIONATE,Joy,NOTHING,Select---,NOPE,Select---
better computers,Acceptance,understanding towards students,Acceptance,n/a,Select---,n/a,Select---
nothing,Null,confident,Satisfaction,nothing,Select---,nope,Select---
nothing,Null,engaging,Satisfaction,fast paced teaching,Select---,nope,Select---
nothing,Null,"Simplified explanations, very understandable",Joy,nothing,Select---,nothing,Select---
"To be honest, i have no idea. ",Null,The stock knowledge and information about the topics.,Acceptance,Hmm... I have no idea as well.,Select---,No.,Select---
time management,Acceptance,he teach us with no pressure and funny haha,Joy,rarely attending class,Select---,"lucky to have him as our prof, wish him to be our capstone adviser",Select---
"I don’t know if this is really how this subject is supposed to be taught and learned, but I think there are a bunch of concepts being tackled without practical application. All I need to do is memorize a bunch of stuff without understanding the underlying concepts. You could say that someone can pass the exam while being oblivious to the topic at the same time. In my case, this is quite possibly the most effective way to make someone hate learning. If possible integrate practical activities. ",Disappointment,He knows what he is saying.,Acceptance,None,Select---,None,Select---
None,Null,Teaches in detailed,Joy,None,Select---,None,Select---
None,Null,Makes the class easy in terms of how the professor teach,Joy,None,Select---,None,Select---
N/A,Null,[PROFESSOR] always looks good and fresh. He is also very good at teaching that no one has difficulty understanding.,Joy,N/A,Select---,N/A,Select---
Further expand the lessons,Acceptance,Helped me to gain more knowledge in terms of technoprenuer,Satisfaction,None,Select---,None,Select---
Teach,Acceptance,None,Null,None,Select---,None,Select---
"I would recommend incorporating more engaging teaching methods to make the course more dynamic and interactive. For instance, integrating group discussions, hands-on activities, or real-world examples could enhance student interest and participation.

Regarding assessments, it would be helpful to adopt a more inclusive quiz format that caters to different learning styles. Providing written copies of the questions alongside verbal instructions or allowing a slightly extended time limit could create a fairer and less stressful environment for all students.",Acceptance,"What u deeply appreciate about his teaching is his unwavering commitment to punctuality and consistency, as he has never missed class. This reliability creates a sense of discipline and respect in the learning environment. Additionally, his use if visual aids and well - structure presentations enhances the teaching process.",Joy,"One aspect of his teaching that I found challenging was the lack of engagement during class. At times, it felt like we were merely fulfilling our roles as students and teacher, rather than genuinely immersing ourselves in the learning process. Admittedly, part of this may be my own responsibility, but I believe that Sir Arip also shares some accountability for making the class less stimulating.

Additionally, I struggled with his quiz format, which involved reading questions aloud twice with a strict time limit. This approach often felt rushed and made it difficult for me, as someone who processes information better through reading than listening, to perform at my best. I believe this style of assessment may have posed similar challenges for my peers as well. A more balanced or inclusive approach to quizzes could help accommodate different learning and comprehension styles.  I truly hope sir arip would take this into consideration. ",Select---,"I hope that [PROFESSOR] could be more approachable in his interactions with students. While I fully understand and respect the importance of maintaining professionalism and clear boundaries between professor and students, it would be beneficial if he occasionally adopted a more relaxed and open demeanor. This small adjustment could help foster a stronger connection with his students and create a more comfortable and supportive learning environment",Select---
Add enough time to teach students,Acceptance,None,Null,Nobe,Select---,None,Select---
Teach properly with the correct lesson plan aligned with the subject course,Acceptance,None,Null,None,Select---,None,Select---
Giving a chance,Acceptance,Strict and straight to the point,Acceptance,Outfit check,Select---,No comment,Select---
i have no major changes because the prof executed his job well the only problem was the time and the scheduling that's why. so if there is one thing i wanna change its the scheduling.,Acceptance,the subjects that he was teaching is very hard but the way he delivered and encourage us is the best part about him. he made it fun and made sure that we are learning in a chill environment and not pressured.,Joy,nothing,Select---,none,Select---
"I am satisfied with [PROFESSOR], teachings and i am happy with it.",Satisfaction,"It was the way he presented information, explained to us in an understanding way, and engaged with the students, showcasing His professionalism in socialization and teaching.",Joy,None,Select---,None,Select---
None,Null,I like how sir stilll implements prayers before and after class,Acceptance,none,Select---,None,Select---
N/A,Null,Style of teaching,Satisfaction,He makes the subject easy and interesting,Select---,N/A,Select---
None,Null,"It is the fact that sir is so Jolly when teaching, and His lessons are easy to understand",Joy,None,Select---,None,Select---
None,Null,"I like how ma'am is very chill, strict, and organized all the time.",Satisfaction,None,Select---,None,Select---
N/A,Null,Friendly and approachable,Satisfaction,Fun and interesting,Select---,N/A,Select---
None,Null,"How brief, concise, yet still understandable and easy to sync in His lessons are",Joy,None,Select---,None,Select---
N/A,Null,Teaching style,Satisfaction,Make the subject easy and fun,Select---,N/A,Select---
None,Null,"It is His willingness to help students that are struggling, and make up to the students.",Acceptance,None,Select---,None,Select---
N/A,Null,Detailed,Joy,Real life situation examples,Select---,N/A,Select---
None,Null,it is His empathy toward the students,Acceptance,None,Select---,None,Select---
N/A,Null,Explanation,Acceptance,N/A,Select---,N/A,Select---
The lessons should be more quite exciting and interesting,Boredom,The demonstration,Satisfaction,Few lessons were not taught that came out on exam,Select---,None,Select---
None,Null,"The way of his style of teaching, make students feel comfortable with the subject",Satisfaction,None,Select---,None,Select---
None,Null,The way he teach the topic very easily,Joy,None,Select---,None,Select---
More topics regarding to the subject,Acceptance,The entertainment and interesting facts,Joy,None,Select---,None,Select---
None,Null,She teaches topics very briefly,Satisfaction,None,Select---,None,Select---
The topics should atleast be more a bit easy and less complicated,Disappointment,He gives enough information about the topics,Satisfaction,Sometimes he teaches and talk too fast that some of us can't understand him,Select---,None,Select---
None,Null,He makes the lessons very clear,Satisfaction,None,Select---,None,Select---
"By having the professor TEACH the class, not the class teaching each other through group reporting. The professor must take in the effort of a student doing the final project, even if the project did not fully reached 100%. She said that we would be 0 if the project did not reached 100% in her eyes.",Disappointment,n/a,Joy,n/a,Select---,n/a,Select---
n/a,Null,n/a,Null,n/a,Select---,n/a,Select---
None,Null,Very Interactive with the students and sometimes applies comedy to his teaching,Null,None,Select---,None,Select---
