feedback_id,respondent_id,question_num,student_feedback,ai_label
q4_f17,17,4,Improve quality of teaching as overall,acceptance
q1_f18,18,1,Acknowledge different coding standard,acceptance
q2_f18,18,2,He knows what he is saying.,acceptance
q3_f18,18,3,Lacking communication(understandable because of busy schedules),acceptance
q4_f18,18,4,"Overall it was not the worse one I have went through, there is still room for improvement.",acceptance
q1_f19,19,1,More reliable source or instructions.,acceptance
q2_f19,19,2,Strict and straight to the point,acceptance
q3_f19,19,3,"I just hope that [PROFESSOR] can give us students more heads up on certain assessments. Other than that, I enjoyed learning during Sir [PROFESSOR] class!",acceptance
q4_f19,19,4,Make coding fun?,acceptance
q1_f20,20,1,Be more resourceful and make more time for the class.,acceptance
q2_f20,20,2,I like how sir stilll implements prayers before and after class,acceptance
q3_f20,20,3,A but fast for teaching but its managable,acceptance
q4_f20,20,4,Maybe he need to touch his students Heart. All students doesn't have the same capabilities in terms of time and availability. Being considerate is not being unfair. Sometimes some student really trying their best and everything and couldn't satisfy the profs standard despite trying his best because of family problems and everything.,acceptance
q1_f21,21,1,More time to discuss and be detailed in explaining some codes.,acceptance
q2_f21,21,2,"It is His willingness to help students that are struggling, and make up to the students.",acceptance
q3_f21,21,3,"I wish he would meet more but at times when he meets, it is worthwhile",acceptance
q4_f21,21,4,i hope to focus more on skill-based learning than making essays and so on,acceptance
q1_f22,22,1,Learning materials and the way a prof teaches the course and activities related to the course outcome,acceptance
q2_f22,22,2,it is His empathy toward the students,acceptance
q3_f22,22,3,Direct to the point,acceptance
q4_f22,22,4,"More lab time, because we learn more in doing rather than reading",acceptance
q1_f23,23,1,More related activities,acceptance
q2_f23,23,2,Explanation,acceptance
q3_f23,23,3,"I like the instructor's teaching style, but I sometimes dislike their strictness about time.",acceptance
q4_f23,23,4,More time for system design for the first semester,acceptance
q1_f24,24,1,Lesson materials,acceptance
q2_f24,24,2,by being strict but also being able to find time to make the students enjoy the course,acceptance
q3_f24,24,3,"None. Well, his time was originally meant only for the lab, so we're really thankful that he takes the time to lecture with us and trusts our ability to learn through it.",acceptance
q4_f24,24,4,Better feedback to student work,acceptance
q1_f25,25,1,less reporting. more teaching of real-world database application or guidance.,acceptance
q2_f25,25,2,[PROFESSOR] consideration and acknowledging the students' limitation.,acceptance
q3_f25,25,3,Recitations,acceptance
q4_f25,25,4,Reduce work.,acceptance
q1_f26,26,1,Latest learning materials,acceptance
q2_f26,26,2,"considerate and understands the student, validates their opinion, and knows how to vibe with them.",acceptance
q3_f26,26,3,"none, just lack of time",acceptance
q4_f26,26,4,Be more active in teaching,acceptance
q1_f27,27,1,onsite coding examples and have more teaching time,acceptance
q2_f27,27,2,"One positive aspect of her teaching is her effort to present the PowerPoint and introduce the basics of the lessons. However, these only happen for a few times and ar not consistent, so there’s potential for improvement in maintaining ths standard across all lessons.",acceptance
q3_f27,27,3,Challenging activities,acceptance
q4_f27,27,4,Teach us really and be open on ideas.,acceptance
q1_f28,28,1,Like teaching the whole basics of coding not only the basics but the basics function of it,acceptance
q2_f28,28,2,Being chill and strict/serious at the same time,acceptance
q3_f28,28,3,Sometimes he does give us over the top activities for us but i know he did it for a better and for helping us improve in programming,acceptance
q4_f28,28,4,Improve unclearness,acceptance
q1_f29,29,1,Teaching about a certain programming language and make  a sample code,acceptance
q2_f29,29,2,Adopt on current state/changes,acceptance
q3_f29,29,3,Sometimes the challenges get a bit too hard yet it is stilll a worthwhile class to be in,acceptance
q4_f29,29,4,Need more teaching.,acceptance
q1_f30,30,1,"Not sure, But keeping it on heavy practical activities is a good thing.",acceptance
q2_f30,30,2,open to discuss sensitive topic,acceptance
q3_f30,30,3,Sometimes there are on the spot changes but its fine becuase sometimes those were emergencies,acceptance
q4_f30,30,4,Less information dumping so that students can absorb more without being overwhelmed,acceptance
q1_f31,31,1,More time in teaching databases,acceptance
q2_f31,31,2,Distant teaching making students to have convenient school and work time,acceptance
q3_f31,31,3,Sometimes her ways are hard to apply during application but for me i think im the one that needs to improve more,acceptance
q4_f31,31,4,"I wish it was more fun, engaging or interactive.",acceptance
q1_f32,32,1,better computers,acceptance
q2_f32,32,2,Make up classes,acceptance
q3_f32,32,3,"not meeting us regularly i mean he meets us to teach but not that regularly. but i guess it is his way for us to learn on our own. and based on my observation in my  improvements in programming, i think it's effective.",acceptance
q4_f32,32,4,Try to be more energetic sir,acceptance
q1_f33,33,1,time management,acceptance
q2_f33,33,2,Being realistic in all classes,acceptance
q3_f33,33,3,"What I liked least in our instructor's teaching is that she can be unpredictable at times, especially with the punishments given to those who are not paying attention—it can feel quite sudden or shocking. However, I understand that it’s meant to help us improve our behavior and discipline as part of the learning process. Additionally, there are moments when her instructions are not immediately clear, which can cause some confusion during activities.",acceptance
q4_f33,33,4,"To enhance the effectiveness of teaching the course, it would be beneficial to keep students engaged by explaining concepts in the instructor's own words and relating them to real-life examples.",acceptance
q1_f34,34,1,Further expand the lessons,acceptance
q2_f34,34,2,always present,acceptance
q3_f34,34,3,"It's not that I disliked anything, but sometimes the real-life examples and explanations took up a lot of time, leaving less room for the rest of the discussion. However, it was still worthwhile since those explanations helped us understand different perspectives more deeply.",acceptance
q4_f34,34,4,"Sure im bias, I might get low grades but that's my fault. Still, the only teacher that I may find his teaching method quite effective.",acceptance
q1_f35,35,1,Teach,acceptance
q2_f35,35,2,Always present,acceptance
q3_f35,35,3,slow and steady,acceptance
q4_f35,35,4,"Expand the tests/exams/quizzes beyond memorization of the meaning behind the topics, rather have it as an applied situation in real life happenings",acceptance
q1_f36,36,1,"I would recommend incorporating more engaging teaching methods to make the course more dynamic and interactive. For instance, integrating group discussions, hands-on activities, or real-world examples could enhance student interest and participation.

Regarding assessments, it would be helpful to adopt a more inclusive quiz format that caters to different learning styles. Providing written copies of the questions alongside verbal instructions or allowing a slightly extended time limit could create a fairer and less stressful environment for all students.",acceptance
q2_f36,36,2,Always present,acceptance
q3_f36,36,3,More prioritization,acceptance
q4_f36,36,4,the course is not for the newbie,acceptance
q1_f37,37,1,Add enough time to teach students,acceptance
q2_f37,37,2,Always present,acceptance
q3_f37,37,3,Communication,acceptance
q4_f37,37,4,Advance study could be conducted in this course,acceptance
q1_f38,38,1,Teach properly with the correct lesson plan aligned with the subject course,acceptance
q2_f38,38,2,Always present,acceptance
q3_f38,38,3,Assignments,acceptance
q4_f38,38,4,"We did not get to meet our professor frequently in school which was kind of a bum because it was one of the fun and entertaining subjects for me personally, but understandable enough because of other responsibilities in life. See you around Sir!",acceptance
q1_f39,39,1,Giving a chance,acceptance
q2_f39,39,2,He at the very least showed some proficiency in programming.,acceptance
q3_f39,39,3,ACTIVITIES,acceptance
q4_f39,39,4,"Regardless of what I suggested above, I also have a problem of my own in understanding things which made my INC grade makes sense therefore I will try to improve myself too for the next school year. (Thank you for understanding and effort ma’am! See you when we’ll work on our INC remarksXD)",acceptance
q1_f40,40,1,i have no major changes because the prof executed his job well the only problem was the time and the scheduling that's why. so if there is one thing i wanna change its the scheduling.,acceptance
q2_f40,40,2,They know what they are doing,acceptance
q3_f40,40,3,Needs time to demonstrate especially situations in some every action like situation in a lesson that rarely happen but struggling to emphasize what is it.,acceptance
q4_f40,40,4,Bit late on class sometimes but will respond.,acceptance
q1_f41,41,1,More topics regarding to the subject,acceptance
q2_f41,41,2,"It's all good, it's only on how he interact with his students.",acceptance
q3_f41,41,3,His announcing time if he cannot meet the class,acceptance
q4_f41,41,4,More time ig,acceptance
q1_f42,42,1,"Include more hands-on activities related to setting up routers, switch, etc",acceptance
q2_f42,42,2,"First, I really appreciate that we are given plenty of time by our instructor to finish our requirements, including designated lecture time to work on our projects. 

Next, during discussions, our teacher not only covers the subject matter but also imparts valuable life lessons. While these lessons may seem a bit harsh at times, they are incredibly useful in real life. 

Finally, I find the subject enjoyable, though I often experience a significant amount of pressure and stress.",acceptance
q3_f42,42,3,she gave us many activities,acceptance
q4_f42,42,4,Time,acceptance
q1_f43,43,1,"More in-depth discussion, breaking complex concepts into smaller digestible topics, and improved hands-on activities.",acceptance
q2_f43,43,2,Loud voice,acceptance
q3_f43,43,3,Same as the like one. Despite it being really helpful it was tough.,acceptance
q4_f43,43,4,"If the student really puts effort into the project, I think it’s only fair to be considerate and not fail them. (Genuine Comment <3)",acceptance
q1_f44,44,1,Easy explanation of the topic,acceptance
q2_f44,44,2,Their tone of speaking,acceptance
q3_f44,44,3,tricky question that's hard to answer,acceptance
q4_f44,44,4,More classes,acceptance
q1_f45,45,1,"More approachable way of teaching, and a much clearer and simpler teaching",acceptance
q2_f45,45,2,What I like is the prayers before and after the classs and also on how he encourage us to study more and believe in ourselves,acceptance
q3_f45,45,3,it would be better to focus more on difficult and extensive lessons,acceptance
q4_f45,45,4,Nothing too outstanding. A consistent class that I have learned a thing or two from.,acceptance
q1_f46,46,1,more unit,acceptance
q2_f46,46,2,The vibes in the classroom is like it gives a fatherly vibes,acceptance
q3_f46,46,3,Explain clearly,acceptance
q4_f46,46,4,I understand that her approach is meant to shape our discipline and encourage us to think independently.,acceptance
q1_f47,47,1,To have accessible Computer Lab,acceptance
q2_f47,47,2,Maybe giving feedback to the work,acceptance
q3_f47,47,3,I'm not sure. Maybe the pressuring of leading the class prayer,acceptance
q4_f47,47,4,I appreciate our instructor’s efforts in guiding us. I hope there will be more detailed feedback on the outputs and fair grading so we can learn and improve confidently.,acceptance
q1_f48,48,1,"To enhance the course, I recommend that the instructor demonstrate live coding implementations of data structures and algorithms, providing a step-by-step walkthrough to clarify key logic and decision-making. This live coding session would help students visualize the flow and purpose of the code, solidifying their understanding of complex concepts and facilitating practical application.",acceptance
q2_f48,48,2,The slow teaching and applying it on a quiz,acceptance
q3_f48,48,3,"It's difficult to pinpoint anything I disliked about my instructor. The course was well-structured. If I had to offer one suggestion, it might be face-to-face class. But overall, I had a very positive learning experience.",acceptance
q4_f48,48,4,Learn how to use easier methods,acceptance
q1_f49,49,1,let us use the computer while learning how to code,acceptance
q2_f49,49,2,The slow teaching and applying it on a quiz,acceptance
q3_f49,49,3,"i'll say she improved a lot now than how she was before, and im thinking its just cause she was pregnant that time, thats why she was so scary and grumpy all the time.",acceptance
q4_f49,49,4,Needs more use of better methods,acceptance
q1_f50,50,1,give time to teach the students,acceptance
q2_f50,50,2,The prayers before and after the class and the way he encourage the students,acceptance
q3_f50,50,3,"Sometimes the lessons felt too detailed, but it was just to make sure everything was understood.",acceptance
q4_f50,50,4,"My overall experience was good because there are patient/calm instructors who are willing to guide and teach the students. However, I would like to suggest that instructors should explain the topic first before giving any coding problems or any activities, so it's easier for us to understand.",acceptance
q1_f51,51,1,more hands on teaching on the spot learning,acceptance
q2_f51,51,2,gives us freedom to do what we can,acceptance
q3_f51,51,3,"The workload could feel heavy at times, but it helped me learn a lot.",acceptance
q4_f51,51,4,More hands-on activities and a slower pace would help us understand better.,acceptance
q1_f52,52,1,"implementation of the concepts like giving a demonstration of that certain concept through coding, instead of teaching only the concept.",acceptance
q2_f52,52,2,freedom,acceptance
q3_f52,52,3,"Surprise quizzes were given, but I guess they helped us stay on track.",acceptance
q4_f52,52,4,"i dont know what to say, i know hes still great, just busy.",acceptance
q1_f53,53,1,"To improve this course, I recommend focusing on a more structured and detailed approach to teaching.",acceptance
q2_f53,53,2,their kind,acceptance
q3_f53,53,3,"There were moments when the lecture pace was too fast, but I eventually caught up.",acceptance
q4_f53,53,4,I hope he take time to explain more about the lessons and also asks the students if they really understand or need further explanations about the lessons.,acceptance
q1_f54,54,1,Explain slowly,acceptance
q2_f54,54,2,"He teach good, it just that we always report the subjects instead of he teach that to us",acceptance
q3_f54,54,3,"Group activities were overwhelming at first, but they improved our teamwork.",acceptance
q4_f54,54,4,"My overall experience was good. However, I suggest that instructor should have been discussed the topics thoroughly.",acceptance
q1_f55,55,1,Teaching Techniques,acceptance
q2_f55,55,2,Nonchalant.,acceptance
q3_f55,55,3,"Some explanations weren’t in-depth, but it encouraged me to study independently.",acceptance
q4_f55,55,4,"My overall experience was good. However, I suggest that instructors should give us easy to hard hands-on activites, so that the students would not be overwhelmed and could be able to gradually learn how to code.",acceptance
q1_f56,56,1,Less delay or changes in schedule.,acceptance
q3_f56,56,3,"Deadlines were tight, but they taught me time management.",acceptance
q4_f56,56,4,"My overall experience was good. I suggest that instructors should discuss topics using simple terms, so it's easier for students to understand the topic right away.",acceptance
q1_f57,57,1,Teaching Style,acceptance
q2_f57,57,2,He don't shout and allows us to explore about the projects,acceptance
q3_f57,57,3,"Announcements sometimes came late, but understandable due to many responsibilities.",acceptance
q4_f57,57,4,I hope he talks slowly but well explained,acceptance
q1_f58,58,1,Give time for students to let the informations sink in to their minds before proceeding to another topic,acceptance
q2_f58,58,2,Soft spoken,acceptance
q3_f58,58,3,"Classes sometimes felt long, but it meant more time for learning.",acceptance
q4_f58,58,4,"My overall experience was good. I suggest that instructors should discuss better topics, and more engaging activities.",acceptance
q1_f59,59,1,I would recommend to have more assignments so that we can also learn on our own while doing a task.,acceptance
q2_f59,59,2,Very Formal,acceptance
q3_f59,59,3,"The seatwork was repetitive, but it reinforced the lessons.",acceptance
q4_f59,59,4,I enjoy the activities but I hope there can be more detailed explanations of the topics before we start. It would help us understand better.,acceptance
q1_f60,60,1,There could be at least 1 or 2 more meetings.,acceptance
q2_f60,60,2,allows student to have enough time to complete a task and informs students in advance what are materials to purchase for upcoming activities,acceptance
q3_f60,60,3,"Attendance was monitored strictly, but it helped build discipline.",acceptance
q4_f60,60,4,Hopefully more improvements in the future.,acceptance
q1_f61,61,1,Could have been at least 1 more meeting.,acceptance
q2_f61,61,2,Chill only,acceptance
q3_f61,61,3,"I occasionally felt lost in discussions, but clarification was always given.",acceptance
q4_f61,61,4,Sync and timing for lessons in lecture to difficulty of activities in Lab,acceptance
q1_f62,62,1,"I saw her efforts on her teachings the subject matter, but I do recommend to give more passion, deep explanations of the topic and make it more be fun and joyful.",acceptance
q2_f62,62,2,Very Chill,acceptance
q3_f62,62,3,"Examples were repeated often, but it ensured everyone understood.",acceptance
q4_f62,62,4,it would be better to include hands-on activities and explain the lessons throughly,acceptance
q1_f63,63,1,Be more hands on,acceptance
q2_f63,63,2,speech,acceptance
q3_f63,63,3,"Internet connection during online class wasn’t always stable, but that’s not the professor’s fault.",acceptance
q4_f63,63,4,Maybe he should just recommend credible online sources for us to watch.,acceptance
q1_f64,64,1,I hope the visual aids like power point presentation will be a lot fewer so that most of the topic can possibly be absorbed in one discussion.,acceptance
q2_f64,64,2,he teaches and tries,acceptance
q3_f64,64,3,"Handwriting on the board was hard to read sometimes, but I got used to it.",acceptance
q4_f64,64,4,Hoping for more improvements.,acceptance
q1_f65,65,1,Better teaching,acceptance
q2_f65,65,2,chill,acceptance
q3_f65,65,3,"The readings were plenty, but they improved my comprehension.",acceptance
q4_f65,65,4,Associate with the instructors of pre requisite courses for smooth transition of lessons,acceptance
q1_f66,66,1,Higher web knowledge,acceptance
q2_f66,66,2,chill,acceptance
q3_f66,66,3,"Some projects were difficult, but they were very rewarding.",acceptance
q4_f66,66,4,Construct simple comments about the students work to boost effectivity of communication to improve projects,acceptance
q1_f67,67,1,I wish to extend the the class duration of this course.,acceptance
q2_f67,67,2,chill prof,acceptance
q3_f67,67,3,"Random recitations were intimidating, but they kept me alert.",acceptance
q4_f67,67,4,Keep some lessons simple with ample time for the students to fully grasp this introductory course,acceptance
q1_f68,68,1,More interactive sessions,acceptance
q2_f68,68,2,chill prof,acceptance
q3_f68,68,3,"Some lessons were very technical, but I learned to appreciate the challenge.",acceptance
q4_f68,68,4,Just explain a little slower,acceptance
q1_f69,69,1,Announce to the class on time,acceptance
q2_f69,69,2,attitude,acceptance
q3_f69,69,3,"Instructions weren’t always clear at first, but asking questions helped.",acceptance
q4_f69,69,4,"Hope she interacts with the students more, like making fun activities if the students really did understand anything because sometimes students lie about understanding the lessons because they don't know what to say.",acceptance
q1_f70,70,1,Hmmm probably the used of real life technology devices,acceptance
q2_f70,70,2,attidude,acceptance
q3_f70,70,3,"Deadlines were strict, but they trained us to be responsible.",acceptance
q4_f70,70,4,Discussions and a way to earn better grades,acceptance
q1_f71,71,1,"Sir can instruct students to create prior design (kahit wireframe lng) para not na po mahirapan masyado during class, esp mahina ang net.",acceptance
q2_f71,71,2,attitude,acceptance
q3_f71,71,3,"Some topics felt rushed, but at least the essentials were covered.",acceptance
q4_f71,71,4,Further enhance study method,acceptance
q1_f72,72,1,Nothing,acceptance
q2_f72,72,2,attitude,acceptance
q3_f72,72,3,"Explanations were long at times, but they made things clearer.",acceptance
q4_f72,72,4,Further improve on teaching,acceptance
q1_f73,73,1,Please explain the PowerPoint,acceptance
q2_f73,73,2,attitude,acceptance
q3_f73,73,3,"I got confused with some activities, but eventually understood the purpose.",acceptance
q4_f73,73,4,"Making a class engaging is very difficult, but it also means there is a path inclined to improvement.",acceptance
q1_f74,74,1,"Better equipments, Faster computers",acceptance
q2_f74,74,2,understanding,acceptance
q3_f74,74,3,"Too many examples were given sometimes, but they helped with exams.",acceptance
q4_f74,74,4,please show us our grades before posting it in the portal.,acceptance
q1_f75,75,1,More enhancement.,acceptance
q2_f75,75,2,"Not too hard exams, in the middle perhaps",acceptance
q3_f75,75,3,"The lectures were dense, but they prepared me well for assessments.",acceptance
q4_f75,75,4,"While the straightforward approach helped keep the lessons clear, adding more interactive and fun activities could make the class more enjoyable and less pressured. A lighter, more engaging teaching style might help students feel more comfortable and motivated to participate.",acceptance
q1_f76,76,1,I hope [PROFESSOR] will have patience and help us to catch up with his lessons.,acceptance
q2_f76,76,2,The instructor is professional,acceptance
q3_f76,76,3,"Group work was hard to coordinate, but it helped us bond.",acceptance
q4_f76,76,4,"maybe less on the presentation reading, and the surprise big exams.",acceptance
q1_f77,77,1,More actual coding,acceptance
q2_f77,77,2,That he still tries to attend class and give quizzes despite the hectic schedule,acceptance
q3_f77,77,3,"The voice was soft sometimes, but sitting closer solved it.",acceptance
q4_f77,77,4,maybe he could actually teach us the specific purpose and what do the codes do instead of making us copy all the stuff he shares on the tv and see if it works on our end.,acceptance
q1_f78,78,1,give time for self learning,acceptance
q2_f78,78,2,im neutral about it,acceptance
q3_f78,78,3,"Strictness in recitations was tough, but it helped us grow.",acceptance
q4_f78,78,4,"I think the course must consistently have hands-on activities, industry examples, and updated materials on the latest tech trends to keep it more practical and relevant.",acceptance
q1_f79,79,1,More interactions and solving,acceptance
q2_f79,79,2,On time,acceptance
q3_f79,79,3,"Discussions occasionally went off-topic, but the stories were still educational.",acceptance
q4_f79,79,4,"I understand the challenges of balancing time, but I hope the lessons could still be adjusted to fit everyone’s pace.",acceptance
q1_f80,80,1,More interaction between the prof and student,acceptance
q2_f80,80,2,gives students sufficient time to answer quizes and exams,acceptance
q3_f80,80,3,"Feedback took time, but it was always detailed.",acceptance
q4_f80,80,4,"I know the workload is heavy for instructors, and I appreciate the effort despite the busy schedule.",acceptance
q1_f81,81,1,Step by step in giving instructions,acceptance
q2_f81,81,2,focus on her work,acceptance
q3_f81,81,3,"Some classes ended late, but we learned more that way.",acceptance
q4_f81,81,4,"Even though classes felt rushed at times, I accept that it’s part of the curriculum setup.",acceptance
q1_f82,82,1,Be stricter,acceptance
q2_f82,82,2,She gave a lot of time to do our final output,acceptance
q3_f82,82,3,"The professor could seem unapproachable at times, but was helpful when asked.",acceptance
q4_f82,82,4,I appreciate the professor’s dedication even when time constraints make it hard to cover everything deeply.,acceptance
q1_f83,83,1,More engagement,acceptance
q2_f83,83,2,He only do reporting but gives us enough time to do our reports,acceptance
q3_f83,83,3,"The class sometimes moved quickly, but it was a good challenge.",acceptance
q4_f83,83,4,"It’s clear the instructor is doing their best, though I think slowing down just a little could help us.",acceptance
q1_f84,84,1,Slow paced teaching such that the students can follow up to the professor,acceptance
q2_f84,84,2,teaching pace,acceptance
q3_f84,84,3,"Assignments were plenty, but they deepened my understanding.",acceptance
q4_f84,84,4,"I accept that not everything can be explained in detail, but I hope for more guided examples next time.",acceptance
q1_f85,85,1,Improve interaction between prof and student,acceptance
q2_f85,85,2,Teaching Pace,acceptance
q3_f85,85,3,"Precision in grading felt strict, but it ensured fairness.",acceptance
q4_f85,85,4,"I respect the teaching approach, even if it sometimes felt overwhelming.",acceptance
q1_f86,86,1,Maybe examples and activities with coding? (I'm not sure that's applicable here),acceptance
q2_f86,86,2,The first time he explains it,acceptance
q3_f86,86,3,"Some lessons were repetitive, but that helped them stick.",acceptance
q4_f86,86,4,"I understand that certain lessons need to be taught quickly, though a slower pace would be nice.",acceptance
q1_f87,87,1,Better ways of teaching,acceptance
q2_f87,87,2,The first day when explaining the syntax,acceptance
q3_f87,87,3,"Assessments were long, but they tested skills thoroughly.",acceptance
