feedback,question,label,label_id
thank you sir <3!,"any further, constructive comment:",joy,0
"this instructor doesnt have respect for her students and unreliable when it comes to consultations. rarely provides useful info in defenses, and focus...","any further, constructive comment:",disappointment,4
very understandable and very good ways of teaching their students,what did you like best about your instructor is teaching?,joy,0
the class atmosphere felt heavy and slow.,what did you like least about your instructor is teaching?,boredom,3
"quizzes were surprising at times, but they kept me studying.",what did you like least about your instructor is teaching?,acceptance,2
everything good and great,what changes would you recommend to improve this course?,satisfaction,1
he is one of the best instructors.,"any further, constructive comment:",joy,0
be more resourceful and make more time for the class.,what changes would you recommend to improve this course?,acceptance,2
the only issue: i wanted additional practice sessions because they were helpful and fun.,what did you like least about your instructor is teaching?,joy,0
"the professor explains clearly, but the monotone makes me sleepy.","any further, constructive comment:",boredom,3
"occasionally, the lessons feel too repetitive.",what changes would you recommend to improve this course?,boredom,3
the only downside: i wanted more office chats — the instructor’s advice was motivating.,what did you like least about your instructor is teaching?,joy,0
i loved how engaging the lectures were.,what changes would you recommend to improve this course?,joy,0
[professor] instructions in every activities were so far easy to follow and very beginners-friendly to most of us freshmen.,what changes would you recommend to improve this course?,satisfaction,1
i liked the boring style—it was easy to endure.,what did you like best about your instructor is teaching?,boredom,3
the tone of teaching didn’t hold my focus.,what did you like least about your instructor is teaching?,boredom,3
he is very attentive and always interact with students,what did you like best about your instructor is teaching?,joy,0
i often zone out because the lessons feel repetitive.,"any further, constructive comment:",boredom,3
way of teaching,what did you like best about your instructor is teaching?,satisfaction,1
the course is really good; providing extra reading resources could be beneficial.,what changes would you recommend to improve this course?,satisfaction,1
the only small gripe: i wanted more hands-on labs because they were engaging.,what did you like least about your instructor is teaching?,joy,0
none it was good,what did you like least about your instructor is teaching?,satisfaction,1
improvement on teaching and mastery of subjects,"any further, constructive comment:",disappointment,4
the class was amazing,"any further, constructive comment:",satisfaction,1
"i appreciate the way topics were covered, even if some felt too advanced.","any further, constructive comment:",acceptance,2
i liked the calm dullness of the teaching.,what did you like best about your instructor is teaching?,boredom,3
no negatives — the instructor’s kindness made learning easy and joyful.,what did you like least about your instructor is teaching?,joy,0
she is very understanding po,what did you like best about your instructor is teaching?,joy,0
more time since summer has a shorter length for classes compared to normal semester,what changes would you recommend to improve this course?,acceptance,2
i hope that the professor will always be on class.,what changes would you recommend to improve this course?,disappointment,4
"i respect that the professor keeps discipline, though a lighter tone could help students feel at ease.","any further, constructive comment:",acceptance,2
the professor or instructors they delivered properly,"any further, constructive comment:",satisfaction,1
"the voice was soft sometimes, but sitting closer solved it.",what did you like least about your instructor is teaching?,acceptance,2
"some lessons were theory-heavy, but they’re still important.",what did you like least about your instructor is teaching?,acceptance,2
understand the modules,what changes would you recommend to improve this course?,disappointment,4
the least was having to wait a whole week between classes.,what did you like least about your instructor is teaching?,joy,0
your enthusiasm about teaching inspires us to also love learning.,"any further, constructive comment:",joy,0
i had a lot of fun and learned a lot.,what changes would you recommend to improve this course?,joy,0
no negatives — every lecture boosted my confidence.,what did you like least about your instructor is teaching?,joy,0
using coursera for better student understanding,what did you like best about your instructor is teaching?,satisfaction,1
advance study could be conducted in this course,"any further, constructive comment:",acceptance,2
the instructor’s teaching style makes the course fun.,what changes would you recommend to improve this course?,joy,0
more group discussions could make the class feel alive.,what changes would you recommend to improve this course?,boredom,3
"the projects given didn’t match the lessons we were taught, which was frustrating.","any further, constructive comment:",disappointment,4
nothing bothered me about the way the instructor taught.,what did you like least about your instructor is teaching?,satisfaction,1
it is his empathy toward the students,what did you like best about your instructor is teaching?,acceptance,2
just “showing” rather than “teaching”. talks way too fast which overloads students with information given that the time allotted for this course is 3...,what did you like least about your instructor is teaching?,disappointment,4
"as a visual learner, [professor] effort in demonstrating the topics visually was very helpful and his ability to apply our topics to real-world situat...",what did you like best about your instructor is teaching?,joy,0
reading the powerpoint,what did you like least about your instructor is teaching?,boredom,3
making us to create an advanced java system using the fundamentals of oop,what did you like best about your instructor is teaching?,acceptance,2
soft spoken,what did you like best about your instructor is teaching?,acceptance,2
given examples,what did you like best about your instructor is teaching?,satisfaction,1
keep some lessons simple with ample time for the students to fully grasp this introductory course,"any further, constructive comment:",acceptance,2
better teaching quality,what changes would you recommend to improve this course?,acceptance,2
his live examples,what did you like best about your instructor is teaching?,satisfaction,1
everything was fine—i have no negatives.,what did you like least about your instructor is teaching?,satisfaction,1
no changes,what changes would you recommend to improve this course?,satisfaction,1
more classes,"any further, constructive comment:",acceptance,2
more topics regarding to the subject,what changes would you recommend to improve this course?,acceptance,2
additional information and lab activities.,what did you like best about your instructor is teaching?,satisfaction,1
i enjoyed the lectures and hands-on exercises.,what changes would you recommend to improve this course?,joy,0
"the discussions lack variety, which makes them boring.","any further, constructive comment:",boredom,3
i respect the approach even though sometimes it felt overwhelming to follow.,"any further, constructive comment:",acceptance,2
just a comment—sayang we didn’t have enough time to cover more of the lessons the course has to offer,"any further, constructive comment:",disappointment,4
"i understand that reading materials are important, but a little more live explanation would be better.","any further, constructive comment:",acceptance,2
time,what changes would you recommend to improve this course?,disappointment,4
"i liked that sometimes instructions were clear, but the lessons were not.",what did you like best about your instructor is teaching?,disappointment,4
i would recommend to have more assignments so that we can also learn on our own while doing a task.,what changes would you recommend to improve this course?,acceptance,2
discussions in class,what changes would you recommend to improve this course?,acceptance,2
sometimes i lose focus because the material feels too repetitive.,what changes would you recommend to improve this course?,boredom,3
"more interactive lessons would be great, but overall fun.",what changes would you recommend to improve this course?,joy,0
thank you for always keeping the class environment light and fun!,"any further, constructive comment:",joy,0
"it sometimes felt too quiet, with no spark.",what did you like least about your instructor is teaching?,boredom,3
more hands on like coding or something.,"any further, constructive comment:",disappointment,4
"sometimes lectures feel slow, making it hard to focus.",what changes would you recommend to improve this course?,boredom,3
the lessons sometimes dragged because of the style.,what did you like least about your instructor is teaching?,boredom,3
he is the goat,"any further, constructive comment:",satisfaction,1
showing the code how it works,what did you like best about your instructor is teaching?,joy,0
learn how to use easier methods,"any further, constructive comment:",acceptance,2
sometimes i feel like i’m not learning because i zone out.,"any further, constructive comment:",boredom,3
could include short challenges to keep students active.,what changes would you recommend to improve this course?,boredom,3
"none, it really depends on the one teaching that makes a course enjoyable while learning",what changes would you recommend to improve this course?,satisfaction,1
none. the classes just felt like plain reading.,what did you like best about your instructor is teaching?,disappointment,4
the energy you bring to class motivates me to work harder.,"any further, constructive comment:",joy,0
"meet more, give more lectures and content we can work on","any further, constructive comment:",disappointment,4
"[professor] is really a professional, he do not answer phone calls during his lecture time even though it will still ring for many times after he decl...","any further, constructive comment:",joy,0
sometimes the subject feels boring due to lack of variety.,"any further, constructive comment:",boredom,3
sir is one of the best profs i know in our department and is doing his job excellently,"any further, constructive comment:",satisfaction,1
the projects are fun and help understand the concepts well.,what changes would you recommend to improve this course?,joy,0
no negatives at all.,what did you like least about your instructor is teaching?,satisfaction,1
"occasionally, i feel sleepy during calm teaching.",what changes would you recommend to improve this course?,boredom,3
there could be at least 1 or 2 more meetings.,what changes would you recommend to improve this course?,acceptance,2
teaching the course like reading it as a story and when explaining it will go on different directions and not related to his/her course anymore,what did you like least about your instructor is teaching?,disappointment,4
everything,what did you like best about your instructor is teaching?,satisfaction,1
improve the interaction where students will not get bored,"any further, constructive comment:",boredom,3
i sometimes feel sleepy when the class is too calm.,what changes would you recommend to improve this course?,boredom,3
"the subject is interesting, but the way it’s taught feels dull.","any further, constructive comment:",boredom,3
the best part was how unenergetic the lessons were.,what did you like best about your instructor is teaching?,boredom,3
the lessons were informative but not stimulating.,what did you like least about your instructor is teaching?,boredom,3
the activities are helpful but sometimes they feel a little too complex for what we covered. it would help if the teacher explained all the fundamenta...,"any further, constructive comment:",disappointment,4
the lessons sometimes came across as too dry.,what did you like least about your instructor is teaching?,boredom,3
the mastery he displays in his craft,what did you like best about your instructor is teaching?,satisfaction,1
what i find most challenging is when lessons are skipped entirely or not explained in depth. [professor] just simply post the learning materials witho...,what did you like least about your instructor is teaching?,disappointment,4
if the code is not working he will make it as an activity,what did you like least about your instructor is teaching?,disappointment,4
nothing much (all is well),what changes would you recommend to improve this course?,satisfaction,1
"it would be better if we could have some feedback on the assignments and the files we send, to check how we fare in the subject. but overall, the cour...",what changes would you recommend to improve this course?,satisfaction,1
"the approach was very direct, but it motivated me to improve.",what did you like least about your instructor is teaching?,acceptance,2
the lack of proper preparation from the instructor showed in the way topics were taught.,"any further, constructive comment:",disappointment,4
"the instructor only met with us a few times, which affected our overall learning experience.",what did you like least about your instructor is teaching?,disappointment,4
fast paced for other students,what did you like least about your instructor is teaching?,boredom,3
no complaints — the instructor made class feel welcoming and interesting.,what did you like least about your instructor is teaching?,joy,0
surprise quiz,what did you like least about your instructor is teaching?,disappointment,4
more actual coding,what changes would you recommend to improve this course?,acceptance,2
thank you for this class [professor]!,"any further, constructive comment:",joy,0
i have no chnages in mind my experience was amazing,what changes would you recommend to improve this course?,joy,0
nothing. the teaching left me disappointed.,what did you like best about your instructor is teaching?,disappointment,4
your positive attitude rubbed off on the whole class.,"any further, constructive comment:",joy,0
this is the standard that i want when it comes to instructor,"any further, constructive comment:",satisfaction,1
explains well and uses different analogy to help us understand,what did you like best about your instructor is teaching?,joy,0
the learning process was fun and engaging.,what changes would you recommend to improve this course?,joy,0
[professor] is the best teacher when it comes to explaining data structures.,what did you like best about your instructor is teaching?,joy,0
i often feel drowsy during class.,"any further, constructive comment:",boredom,3
keep up the good work sir!!,"any further, constructive comment:",satisfaction,1
perhaps the pace was too smooth; i never felt challenged in a negative way.,what did you like least about your instructor is teaching?,satisfaction,1
it’s disappointing that we had to rely on external resources instead of our professor.,"any further, constructive comment:",disappointment,4
i hope [professor] will have patience and help us to catch up with his lessons.,what changes would you recommend to improve this course?,acceptance,2
one of the best teachers,"any further, constructive comment:",joy,0
i loved participating in class activities.,what changes would you recommend to improve this course?,joy,0
"make it more interactive, its too boring, but a very important subject",what changes would you recommend to improve this course?,boredom,3
no need to improve.,what changes would you recommend to improve this course?,satisfaction,1
more examples for lessons.,what changes would you recommend to improve this course?,acceptance,2
the inaudible when teaching,what did you like least about your instructor is teaching?,disappointment,4
calm,what did you like best about your instructor is teaching?,acceptance,2
the course is enjoyable and well-organized.,what changes would you recommend to improve this course?,joy,0
there was no part i disliked about the instructor’s teaching.,what did you like least about your instructor is teaching?,satisfaction,1
she is strict when it comes to midterm/final exam,what did you like best about your instructor is teaching?,acceptance,2
the class often felt longer than it really was.,what did you like least about your instructor is teaching?,boredom,3
"please maturo nang maayos, lagi pumasok sa class kasi hindi lahat ayaw matuto. nagigingng kawawa kame sa ibang sub kasi wala kame maisagot. hindi wor...","any further, constructive comment:",disappointment,4
more activities because his activities are fun for me to do,what changes would you recommend to improve this course?,joy,0
could use more visuals or animations to make learning fun.,what changes would you recommend to improve this course?,boredom,3
the way of teaching,what did you like best about your instructor is teaching?,satisfaction,1
i would recommend that making the subject engaging and having proper guidance on core concepts would greatly improve the course.,what changes would you recommend to improve this course?,disappointment,4
the vibes in the classroom is like it gives a fatherly vibes,what did you like best about your instructor is teaching?,acceptance,2
nothing to improve the class particularly the instructors teaching methods was sufficient and comprehensive,what changes would you recommend to improve this course?,satisfaction,1
i had fun attending the lectures and activities.,what changes would you recommend to improve this course?,joy,0
"more approachable way of teaching, and a much clearer and simpler teaching",what changes would you recommend to improve this course?,acceptance,2
everything is excellent,"any further, constructive comment:",satisfaction,1
very creative in teaching,"any further, constructive comment:",satisfaction,1
please show us our grades before posting it in the portal.,"any further, constructive comment:",acceptance,2
"sir can instruct students to create prior design (kahit wireframe lng) para not na po mahirapan masyado during class, esp mahina ang net.",what changes would you recommend to improve this course?,acceptance,2
"i also remember there was a time when he promised our group that he would send an example or some kind of reference to help us with our system, but he...","any further, constructive comment:",disappointment,4
his teaching style.,what did you like best about your instructor is teaching?,satisfaction,1
the best,what did you like best about your instructor is teaching?,joy,0
i had fun learning because of how interactive the lessons were.,"any further, constructive comment:",joy,0
could benefit from more interactive teaching strategies.,what changes would you recommend to improve this course?,boredom,3
i didn’t dislike anything; the lectures always lifted my spirits.,what did you like least about your instructor is teaching?,joy,0
"i think the course must consistently have hands-on activities, industry examples, and updated materials on the latest tech trends to keep it more prac...","any further, constructive comment:",acceptance,2
i hope the class can be more interactive because listening the whole time gets tiring.,"any further, constructive comment:",boredom,3
better quality of teaching and improve the voice,what changes would you recommend to improve this course?,acceptance,2
"the course was already tough, so clearer guidance and responsiveness would’ve helped a lot, especially when new deliverables were introduced close to ...","any further, constructive comment:",disappointment,4
i feel drowsy in class when there isn’t much movement or activity.,"any further, constructive comment:",boredom,3
all good! i enjoyed learning with sir [professor]!,"any further, constructive comment:",satisfaction,1
it is all good.,what changes would you recommend to improve this course?,satisfaction,1
i would like for sir to explain his lessons more clearly,what changes would you recommend to improve this course?,disappointment,4
giving the materials itself.,what did you like best about your instructor is teaching?,satisfaction,1
i can’t point to anything negative — lessons were consistently enjoyable.,what did you like least about your instructor is teaching?,joy,0
"i felt supported in this class, and that helped me build confidence in my skills.","any further, constructive comment:",satisfaction,1
recitations,what did you like least about your instructor is teaching?,acceptance,2
latest learning materials,what changes would you recommend to improve this course?,acceptance,2
more short activities would help prevent boredom.,what changes would you recommend to improve this course?,boredom,3
the lack of number of classes,what did you like least about your instructor is teaching?,disappointment,4
you are a great teacher. . . thank you!,"any further, constructive comment:",joy,0
i feel drowsy with the current lecture style.,"any further, constructive comment:",boredom,3
"more time for teaching because im very interested in the things i still need to learn,or we stkll need to learn","any further, constructive comment:",acceptance,2
i liked how unexciting the teaching was.,what did you like best about your instructor is teaching?,boredom,3
more interactive exercises would make it even better.,what changes would you recommend to improve this course?,joy,0
the course is exciting and joyful.,what changes would you recommend to improve this course?,joy,0
the least i liked was having to wait for the next class.,what did you like least about your instructor is teaching?,joy,0
the instructor demonstrated solid knowledge of the subject and presented concepts clearly.,"any further, constructive comment:",satisfaction,1
"i know the professor has other responsibilities, and i still appreciate the effort put in.","any further, constructive comment:",acceptance,2
difficult task,what did you like best about your instructor is teaching?,acceptance,2
"the lectures sometimes drag, making me lose interest.","any further, constructive comment:",boredom,3
nothing comes to mind; everything felt balanced and effective.,what did you like least about your instructor is teaching?,satisfaction,1
his real life examples connected to the lesson/discussion,what did you like best about your instructor is teaching?,acceptance,2
more puzzles!,what changes would you recommend to improve this course?,boredom,3
