feedback_id,annotator_1,annotator_2,annotator_3
66,acceptance,acceptance,acceptance
67,acceptance,acceptance,acceptance
68,acceptance,acceptance,acceptance
69,acceptance,acceptance,acceptance
70,acceptance,acceptance,acceptance
71,acceptance,acceptance,acceptance
72,acceptance,acceptance,acceptance
73,acceptance,boredom,acceptance
74,acceptance,acceptance,acceptance
75,acceptance,acceptance,acceptance
76,acceptance,acceptance,acceptance
77,disappointment,acceptance,acceptance
78,acceptance,acceptance,acceptance
79,acceptance,acceptance,acceptance
80,acceptance,acceptance,acceptance
81,acceptance,acceptance,acceptance
82,acceptance,acceptance,acceptance
83,acceptance,acceptance,acceptance
84,acceptance,acceptance,acceptance
85,acceptance,acceptance,acceptance
86,acceptance,acceptance,acceptance
87,acceptance,acceptance,acceptance
88,acceptance,acceptance,acceptance
89,acceptance,acceptance,acceptance
90,acceptance,acceptance,acceptance
91,acceptance,acceptance,acceptance
92,acceptance,acceptance,acceptance
93,acceptance,acceptance,acceptance
94,acceptance,acceptance,acceptance
95,acceptance,acceptance,acceptance
96,acceptance,acceptance,acceptance
97,acceptance,acceptance,acceptance
98,acceptance,acceptance,acceptance
99,acceptance,acceptance,acceptance
100,acceptance,acceptance,acceptance
101,acceptance,acceptance,acceptance
102,acceptance,acceptance,acceptance
103,acceptance,acceptance,acceptance
104,acceptance,acceptance,acceptance
105,acceptance,acceptance,acceptance
106,acceptance,acceptance,acceptance
107,acceptance,acceptance,acceptance
108,acceptance,acceptance,acceptance
109,acceptance,acceptance,acceptance
110,acceptance,acceptance,acceptance
111,acceptance,acceptance,acceptance
112,acceptance,acceptance,acceptance
113,acceptance,acceptance,acceptance
114,acceptance,acceptance,acceptance
115,acceptance,acceptance,acceptance
116,acceptance,acceptance,acceptance
117,acceptance,acceptance,acceptance
118,acceptance,acceptance,acceptance
119,acceptance,acceptance,acceptance
120,acceptance,acceptance,acceptance
121,acceptance,acceptance,acceptance
122,acceptance,acceptance,acceptance
123,acceptance,acceptance,acceptance
124,acceptance,acceptance,acceptance
125,acceptance,acceptance,acceptance
126,acceptance,acceptance,acceptance
127,acceptance,acceptance,acceptance
128,acceptance,acceptance,acceptance
129,acceptance,acceptance,acceptance
130,acceptance,acceptance,acceptance
131,acceptance,acceptance,acceptance
132,acceptance,acceptance,acceptance
133,acceptance,acceptance,acceptance
134,acceptance,acceptance,acceptance
135,acceptance,acceptance,acceptance
136,acceptance,acceptance,acceptance
137,acceptance,acceptance,acceptance
138,acceptance,acceptance,acceptance
139,acceptance,acceptance,acceptance
140,acceptance,acceptance,acceptance
141,acceptance,acceptance,acceptance
142,acceptance,acceptance,acceptance
143,acceptance,acceptance,acceptance
144,disappointment,disappointment,disappointment
145,disappointment,disappointment,disappointment
146,disappointment,disappointment,disappointment
147,disappointment,disappointment,disappointment
148,disappointment,disappointment,disappointment
149,disappointment,disappointment,disappointment
150,disappointment,disappointment,disappointment
151,disappointment,disappointment,disappointment
152,disappointment,disappointment,disappointment
153,disappointment,disappointment,disappointment
154,disappointment,disappointment,disappointment
155,disappointment,disappointment,disappointment
156,disappointment,disappointment,disappointment
157,disappointment,disappointment,disappointment
158,disappointment,disappointment,disappointment
159,disappointment,disappointment,disappointment
160,disappointment,disappointment,disappointment
161,disappointment,disappointment,disappointment
162,disappointment,disappointment,disappointment
163,disappointment,disappointment,disappointment
164,disappointment,disappointment,disappointment
165,disappointment,disappointment,disappointment
166,disappointment,disappointment,disappointment
167,disappointment,disappointment,disappointment
168,disappointment,disappointment,disappointment
169,disappointment,disappointment,disappointment
170,disappointment,disappointment,disappointment
171,disappointment,disappointment,disappointment
172,disappointment,disappointment,disappointment
173,disappointment,disappointment,disappointment
174,disappointment,disappointment,disappointment
175,disappointment,disappointment,disappointment
176,disappointment,disappointment,disappointment
177,disappointment,disappointment,disappointment
178,disappointment,disappointment,disappointment
179,disappointment,disappointment,disappointment
180,disappointment,disappointment,disappointment
181,disappointment,disappointment,disappointment
182,disappointment,disappointment,disappointment
183,disappointment,disappointment,disappointment
184,disappointment,disappointment,disappointment
185,disappointment,disappointment,disappointment
186,disappointment,disappointment,disappointment
187,disappointment,disappointment,disappointment
188,disappointment,disappointment,disappointment
189,disappointment,disappointment,disappointment
190,disappointment,disappointment,disappointment
191,disappointment,disappointment,disappointment
192,disappointment,disappointment,disappointment
193,disappointment,disappointment,disappointment
194,disappointment,disappointment,disappointment
195,disappointment,disappointment,disappointment
196,disappointment,disappointment,disappointment
197,disappointment,disappointment,disappointment
198,disappointment,disappointment,disappointment
199,disappointment,disappointment,disappointment
200,disappointment,disappointment,disappointment
201,disappointment,disappointment,disappointment
202,disappointment,disappointment,disappointment
203,disappointment,disappointment,disappointment
204,disappointment,disappointment,disappointment
205,disappointment,disappointment,disappointment
206,disappointment,disappointment,disappointment
207,disappointment,disappointment,disappointment
208,disappointment,disappointment,disappointment
209,disappointment,disappointment,disappointment
210,disappointment,disappointment,disappointment
211,disappointment,disappointment,disappointment
212,disappointment,disappointment,disappointment
213,disappointment,disappointment,disappointment
214,disappointment,disappointment,disappointment
215,disappointment,disappointment,disappointment
216,disappointment,disappointment,disappointment
217,disappointment,disappointment,disappointment
218,disappointment,disappointment,disappointment
219,disappointment,disappointment,acceptance
220,disappointment,disappointment,disappointment
221,disappointment,disappointment,disappointment
222,disappointment,disappointment,disappointment
223,disappointment,disappointment,disappointment
224,disappointment,disappointment,disappointment
225,disappointment,disappointment,disappointment
226,disappointment,disappointment,disappointment
227,disappointment,disappointment,disappointment
228,disappointment,disappointment,disappointment
229,disappointment,disappointment,disappointment
230,disappointment,disappointment,disappointment
231,disappointment,disappointment,disappointment
232,disappointment,disappointment,disappointment
233,disappointment,disappointment,disappointment
234,disappointment,disappointment,disappointment
235,disappointment,disappointment,disappointment
236,disappointment,disappointment,disappointment
237,disappointment,disappointment,disappointment
238,disappointment,disappointment,disappointment
239,disappointment,disappointment,disappointment
240,disappointment,disappointment,disappointment
241,disappointment,disappointment,disappointment
242,disappointment,disappointment,disappointment
243,disappointment,disappointment,disappointment
244,disappointment,disappointment,disappointment
245,disappointment,disappointment,disappointment
246,disappointment,disappointment,disappointment
247,disappointment,disappointment,disappointment
248,disappointment,disappointment,disappointment
249,disappointment,disappointment,disappointment
250,disappointment,disappointment,disappointment
251,disappointment,disappointment,disappointment
252,disappointment,disappointment,disappointment
253,disappointment,disappointment,disappointment
254,disappointment,disappointment,disappointment
255,disappointment,disappointment,disappointment
256,disappointment,disappointment,disappointment
257,disappointment,disappointment,disappointment
258,disappointment,disappointment,disappointment
259,disappointment,disappointment,disappointment
260,disappointment,disappointment,disappointment
261,disappointment,disappointment,disappointment
262,disappointment,disappointment,disappointment
263,disappointment,disappointment,disappointment
264,disappointment,disappointment,disappointment
265,disappointment,disappointment,disappointment
266,disappointment,disappointment,disappointment
267,disappointment,disappointment,disappointment
268,disappointment,disappointment,disappointment
269,disappointment,disappointment,disappointment
270,disappointment,disappointment,disappointment
271,disappointment,disappointment,disappointment
272,disappointment,disappointment,disappointment
273,disappointment,disappointment,disappointment
274,disappointment,disappointment,disappointment
275,disappointment,disappointment,disappointment
276,disappointment,disappointment,disappointment
277,disappointment,disappointment,disappointment
278,disappointment,disappointment,disappointment
279,disappointment,disappointment,disappointment
280,disappointment,disappointment,disappointment
281,disappointment,disappointment,disappointment
282,disappointment,disappointment,disappointment
283,disappointment,disappointment,disappointment
284,disappointment,disappointment,disappointment
285,disappointment,disappointment,disappointment
286,disappointment,disappointment,disappointment
287,satisfaction,satisfaction,satisfaction
288,satisfaction,satisfaction,satisfaction
289,satisfaction,satisfaction,satisfaction
290,acceptance,satisfaction,satisfaction
291,satisfaction,satisfaction,satisfaction
292,satisfaction,satisfaction,satisfaction
293,satisfaction,satisfaction,satisfaction
294,satisfaction,satisfaction,satisfaction
295,satisfaction,satisfaction,satisfaction
296,satisfaction,satisfaction,satisfaction
297,satisfaction,satisfaction,satisfaction
298,satisfaction,satisfaction,satisfaction
299,satisfaction,satisfaction,satisfaction
300,satisfaction,satisfaction,satisfaction
301,satisfaction,satisfaction,satisfaction
302,satisfaction,satisfaction,satisfaction
303,satisfaction,satisfaction,satisfaction
304,satisfaction,satisfaction,satisfaction
305,satisfaction,satisfaction,satisfaction
306,satisfaction,satisfaction,satisfaction
307,satisfaction,satisfaction,satisfaction
308,satisfaction,satisfaction,satisfaction
309,satisfaction,satisfaction,satisfaction
310,satisfaction,satisfaction,satisfaction
311,satisfaction,satisfaction,satisfaction
312,satisfaction,satisfaction,satisfaction
313,satisfaction,satisfaction,satisfaction
314,satisfaction,satisfaction,satisfaction
315,satisfaction,satisfaction,satisfaction
316,satisfaction,satisfaction,satisfaction
317,satisfaction,satisfaction,satisfaction
318,satisfaction,satisfaction,satisfaction
319,satisfaction,satisfaction,satisfaction
320,satisfaction,satisfaction,satisfaction
321,satisfaction,satisfaction,satisfaction
322,satisfaction,satisfaction,satisfaction
323,satisfaction,satisfaction,satisfaction
324,satisfaction,satisfaction,satisfaction
325,satisfaction,satisfaction,satisfaction
326,satisfaction,satisfaction,satisfaction
327,satisfaction,satisfaction,satisfaction
328,satisfaction,satisfaction,satisfaction
329,satisfaction,satisfaction,satisfaction
330,satisfaction,satisfaction,satisfaction
331,satisfaction,satisfaction,satisfaction
332,satisfaction,satisfaction,satisfaction
333,satisfaction,satisfaction,satisfaction
334,satisfaction,satisfaction,satisfaction
335,satisfaction,satisfaction,satisfaction
336,satisfaction,satisfaction,satisfaction
337,satisfaction,satisfaction,satisfaction
338,satisfaction,satisfaction,satisfaction
339,satisfaction,satisfaction,satisfaction
340,satisfaction,satisfaction,satisfaction
341,satisfaction,satisfaction,satisfaction
342,satisfaction,satisfaction,satisfaction
343,satisfaction,satisfaction,satisfaction
344,satisfaction,satisfaction,satisfaction
345,satisfaction,satisfaction,satisfaction
346,satisfaction,satisfaction,satisfaction
347,satisfaction,satisfaction,satisfaction
348,satisfaction,satisfaction,satisfaction
349,satisfaction,satisfaction,satisfaction
350,satisfaction,satisfaction,satisfaction
351,satisfaction,satisfaction,satisfaction
352,satisfaction,satisfaction,satisfaction
353,satisfaction,satisfaction,satisfaction
354,satisfaction,satisfaction,satisfaction
355,satisfaction,satisfaction,satisfaction
356,satisfaction,satisfaction,satisfaction
357,satisfaction,satisfaction,satisfaction
358,satisfaction,satisfaction,satisfaction
359,satisfaction,satisfaction,satisfaction
360,satisfaction,satisfaction,satisfaction
361,satisfaction,satisfaction,satisfaction
362,satisfaction,satisfaction,satisfaction
363,satisfaction,satisfaction,satisfaction
364,satisfaction,satisfaction,satisfaction
365,satisfaction,satisfaction,satisfaction
366,satisfaction,satisfaction,satisfaction
367,satisfaction,satisfaction,satisfaction
368,satisfaction,satisfaction,satisfaction
369,satisfaction,satisfaction,satisfaction
370,satisfaction,satisfaction,satisfaction
371,satisfaction,satisfaction,satisfaction
372,satisfaction,satisfaction,satisfaction
373,satisfaction,satisfaction,satisfaction
374,satisfaction,satisfaction,satisfaction
375,satisfaction,satisfaction,satisfaction
376,satisfaction,satisfaction,satisfaction
377,satisfaction,satisfaction,satisfaction
378,satisfaction,satisfaction,satisfaction
379,satisfaction,satisfaction,satisfaction
380,satisfaction,satisfaction,satisfaction
381,satisfaction,satisfaction,satisfaction
382,satisfaction,satisfaction,satisfaction
383,satisfaction,satisfaction,satisfaction
384,satisfaction,satisfaction,satisfaction
385,satisfaction,satisfaction,satisfaction
386,satisfaction,satisfaction,satisfaction
387,satisfaction,satisfaction,satisfaction
388,satisfaction,satisfaction,satisfaction
389,satisfaction,satisfaction,satisfaction
390,satisfaction,satisfaction,satisfaction
391,satisfaction,satisfaction,satisfaction
392,satisfaction,satisfaction,satisfaction
393,satisfaction,satisfaction,satisfaction
394,satisfaction,satisfaction,satisfaction
395,satisfaction,satisfaction,satisfaction
396,satisfaction,satisfaction,satisfaction
397,satisfaction,satisfaction,satisfaction
398,satisfaction,satisfaction,satisfaction
399,satisfaction,satisfaction,satisfaction
400,satisfaction,satisfaction,satisfaction
401,satisfaction,satisfaction,satisfaction
402,satisfaction,satisfaction,satisfaction
403,satisfaction,satisfaction,satisfaction
404,satisfaction,satisfaction,satisfaction
405,satisfaction,satisfaction,satisfaction
406,satisfaction,satisfaction,satisfaction
407,satisfaction,joy,satisfaction
408,satisfaction,satisfaction,satisfaction
409,satisfaction,satisfaction,satisfaction
410,satisfaction,satisfaction,satisfaction
411,satisfaction,joy,satisfaction
412,satisfaction,satisfaction,satisfaction
413,satisfaction,satisfaction,satisfaction
414,satisfaction,satisfaction,satisfaction
415,satisfaction,satisfaction,satisfaction
416,satisfaction,satisfaction,satisfaction
417,satisfaction,satisfaction,satisfaction
418,satisfaction,satisfaction,satisfaction
419,satisfaction,satisfaction,satisfaction
420,satisfaction,satisfaction,satisfaction
421,satisfaction,satisfaction,satisfaction
422,satisfaction,satisfaction,satisfaction
423,satisfaction,satisfaction,satisfaction
424,satisfaction,satisfaction,satisfaction
425,satisfaction,satisfaction,satisfaction
426,satisfaction,satisfaction,satisfaction
427,satisfaction,satisfaction,satisfaction
428,satisfaction,satisfaction,satisfaction
429,satisfaction,joy,satisfaction
430,boredom,boredom,boredom
431,boredom,boredom,boredom
432,boredom,boredom,boredom
433,boredom,boredom,boredom
434,boredom,boredom,boredom
435,boredom,boredom,boredom
436,boredom,boredom,boredom
437,boredom,boredom,boredom
438,boredom,boredom,boredom
439,boredom,boredom,boredom
440,boredom,boredom,boredom
441,boredom,boredom,boredom
442,boredom,boredom,boredom
443,boredom,boredom,boredom
444,boredom,boredom,boredom
445,boredom,boredom,boredom
446,boredom,boredom,boredom
447,boredom,boredom,boredom
448,boredom,boredom,boredom
449,boredom,boredom,boredom
450,boredom,boredom,boredom
451,boredom,boredom,boredom
452,boredom,boredom,boredom
453,boredom,boredom,boredom
454,boredom,boredom,boredom
455,boredom,boredom,boredom
456,boredom,boredom,boredom
457,boredom,boredom,boredom
458,boredom,boredom,boredom
459,boredom,boredom,boredom
460,boredom,boredom,boredom
461,boredom,boredom,boredom
462,boredom,boredom,boredom
463,boredom,boredom,boredom
464,boredom,boredom,boredom
465,boredom,boredom,boredom
466,boredom,boredom,boredom
467,boredom,boredom,boredom
468,boredom,boredom,boredom
469,boredom,boredom,boredom
470,boredom,boredom,boredom
471,boredom,boredom,boredom
472,boredom,boredom,boredom
473,boredom,boredom,boredom
474,boredom,boredom,boredom
475,boredom,boredom,boredom
476,boredom,boredom,boredom
477,boredom,boredom,boredom
478,boredom,boredom,boredom
479,boredom,boredom,boredom
480,boredom,boredom,boredom
481,boredom,boredom,boredom
482,boredom,boredom,boredom
483,boredom,boredom,boredom
484,boredom,boredom,boredom
485,boredom,boredom,boredom
486,boredom,boredom,boredom
487,boredom,boredom,boredom
488,boredom,boredom,boredom
489,boredom,boredom,boredom
490,boredom,boredom,boredom
491,boredom,boredom,boredom
492,boredom,boredom,boredom
493,boredom,boredom,boredom
494,boredom,boredom,boredom
495,boredom,boredom,boredom
496,boredom,boredom,boredom
497,boredom,boredom,boredom
498,boredom,boredom,boredom
499,boredom,boredom,boredom
500,boredom,boredom,boredom
501,boredom,boredom,boredom
502,boredom,boredom,boredom
503,boredom,boredom,boredom
504,boredom,boredom,boredom
505,boredom,boredom,boredom
506,boredom,boredom,boredom
507,boredom,boredom,boredom
508,boredom,boredom,boredom
509,boredom,boredom,boredom
510,boredom,boredom,boredom
511,boredom,boredom,boredom
512,boredom,boredom,boredom
513,boredom,boredom,boredom
514,boredom,boredom,boredom
515,boredom,boredom,boredom
516,boredom,boredom,boredom
517,boredom,boredom,boredom
518,boredom,boredom,boredom
519,boredom,boredom,boredom
520,boredom,boredom,boredom
521,boredom,boredom,boredom
522,boredom,boredom,boredom
523,boredom,boredom,boredom
524,boredom,boredom,boredom
525,boredom,boredom,boredom
526,boredom,boredom,boredom
527,boredom,boredom,boredom
528,boredom,boredom,boredom
529,boredom,boredom,boredom
530,boredom,boredom,boredom
531,boredom,boredom,boredom
532,boredom,boredom,boredom
533,boredom,boredom,boredom
534,boredom,boredom,boredom
535,boredom,boredom,boredom
536,boredom,boredom,boredom
537,boredom,boredom,boredom
538,boredom,boredom,boredom
539,boredom,boredom,boredom
540,boredom,boredom,boredom
541,boredom,boredom,boredom
542,boredom,boredom,boredom
543,boredom,boredom,boredom
544,boredom,boredom,boredom
545,boredom,boredom,boredom
546,boredom,boredom,boredom
547,boredom,boredom,boredom
548,boredom,boredom,boredom
549,boredom,boredom,boredom
550,boredom,boredom,boredom
551,boredom,boredom,boredom
552,boredom,boredom,boredom
553,boredom,boredom,boredom
554,boredom,boredom,boredom
555,boredom,boredom,boredom
556,boredom,boredom,boredom
557,boredom,boredom,boredom
558,boredom,boredom,boredom
559,boredom,boredom,boredom
560,boredom,boredom,boredom
561,boredom,boredom,boredom
562,boredom,boredom,boredom
563,boredom,boredom,boredom
564,boredom,boredom,boredom
565,boredom,boredom,boredom
566,boredom,boredom,boredom
567,boredom,boredom,boredom
568,boredom,boredom,boredom
569,boredom,boredom,boredom
570,boredom,boredom,boredom
571,boredom,boredom,boredom
572,boredom,boredom,boredom
573,joy,joy,joy
574,joy,joy,joy
575,joy,joy,joy
576,joy,joy,joy
577,joy,joy,joy
578,joy,joy,joy
579,joy,joy,joy
580,joy,joy,joy
581,joy,joy,joy
582,joy,joy,joy
583,joy,joy,joy
584,joy,joy,joy
585,joy,joy,joy
586,joy,joy,joy
587,joy,joy,joy
588,joy,joy,joy
589,joy,joy,joy
590,joy,joy,joy
591,joy,joy,joy
592,joy,joy,joy
593,joy,joy,joy
594,joy,joy,joy
595,joy,joy,joy
596,joy,joy,joy
597,joy,joy,joy
598,joy,joy,joy
599,joy,joy,joy
600,joy,joy,joy
601,joy,joy,joy
602,joy,joy,joy
603,joy,joy,joy
604,joy,joy,joy
605,joy,joy,joy
606,joy,joy,joy
607,joy,joy,joy
608,joy,joy,joy
609,joy,joy,joy
610,joy,joy,joy
611,joy,joy,joy
612,joy,joy,joy
613,joy,joy,joy
614,joy,joy,joy
615,joy,joy,joy
616,joy,joy,joy
617,joy,joy,acceptance
618,joy,joy,joy
619,joy,joy,joy
620,joy,joy,joy
621,joy,joy,joy
622,joy,joy,joy
623,joy,joy,joy
624,joy,joy,joy
625,joy,joy,joy
626,joy,joy,joy
627,joy,joy,joy
628,joy,joy,joy
629,joy,joy,joy
630,joy,joy,joy
631,joy,joy,joy
632,joy,joy,joy
633,joy,joy,joy
634,joy,joy,joy
635,joy,joy,joy
636,joy,joy,joy
637,joy,joy,joy
638,joy,joy,joy
639,joy,joy,joy
640,joy,joy,joy
641,joy,joy,joy
642,joy,joy,joy
643,joy,joy,joy
644,joy,joy,joy
645,joy,joy,joy
646,joy,joy,joy
647,joy,joy,joy
648,joy,joy,joy
649,joy,joy,joy
650,joy,joy,joy
651,joy,joy,joy
652,joy,joy,joy
653,joy,joy,joy
654,joy,joy,joy
655,joy,joy,joy
656,joy,joy,joy
657,joy,joy,joy
658,joy,joy,joy
659,joy,joy,joy
660,joy,joy,joy
661,joy,joy,joy
662,joy,joy,joy
663,joy,joy,joy
664,joy,joy,joy
665,joy,joy,joy
666,joy,joy,joy
667,joy,joy,joy
668,joy,joy,joy
669,joy,joy,joy
670,joy,joy,joy
671,joy,joy,joy
672,joy,joy,joy
673,joy,joy,joy
674,joy,joy,joy
675,joy,joy,joy
676,joy,joy,joy
677,joy,joy,joy
678,joy,joy,joy
679,joy,joy,joy
680,joy,joy,joy
681,joy,joy,joy
682,joy,joy,joy
683,joy,joy,joy
684,joy,joy,joy
685,joy,joy,joy
686,joy,joy,joy
687,joy,joy,joy
688,joy,joy,joy
689,joy,joy,joy
690,joy,joy,joy
691,joy,joy,joy
692,joy,joy,joy
693,joy,joy,joy
694,joy,joy,joy
695,joy,joy,joy
696,joy,joy,joy
697,joy,joy,joy
698,joy,joy,joy
699,joy,joy,joy
700,joy,joy,joy
701,joy,joy,joy
702,joy,joy,joy
703,joy,joy,joy
704,joy,joy,joy
705,joy,joy,joy
706,joy,joy,joy
707,joy,joy,joy
708,joy,joy,joy
709,joy,joy,joy
710,joy,joy,joy
711,joy,joy,joy
712,joy,joy,joy
713,joy,joy,joy
714,joy,joy,joy
715,joy,joy,joy
