School Year,Semester,Course,Course_code,Subject_Description,What changes would you recommend to improve this course?,Label,School Year,Semester,Course,Course_code,Subject_Description,What did you like best about your instructors teaching?,Label,School Year,Semester,Course,Course_code,Subject_Description,What did you like least about your instructor’s teaching?,Label,School Year,Semester,Course,Course_code,Subject_Description,"Any further, constructive comment: ",Label
2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 139,IT Elective 1,Learning materials and the way to teach on the subjects along with activities related to every lesson,Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,MAD 121,Mobile App Development,Visual presentations are pleasing to the eyes,Acceptance,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 133,Networking 2,Some of the activities were challenging.,Acceptance,2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 104,Information Management,I hope our instructor considers dedicating more time to hands on teaching during lab hours. This adjustment would not only help students learn more effectively but also enhance the overall quality of the course,Acceptance
2024-2025,1st Semester,Bachelor of Science in Computer Science,SIPP 125,Social Issues and Professional Practice,"more hands on example, like real scenario ",Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,NC 127,Networks and Communications,Gives ample time to work on something,Acceptance,2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 105,Application Development and Emerging Technologies,Just enough meetings.,Acceptance,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 212,Quantitative Methods,"Teach the lesson in an easy to digest manner. This way, we can learn the lessons on the class alone, and then solidify our understanding at home or through videos. This kind of feedback is great for the student experience.",Acceptance
2024-2025,1st Semester,Bachelor of Science in Computer Science,SIPP 125,Social Issues and Professional Practice,Give opportunity for the lower scores in exams,Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,SIPP 125,Social Issues and Professional Practice,open to communicate,Acceptance,2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 103,Data Structures and Algorithms,"Sometimes, the way she explains the lesson it easy to understand, but the activities she gives are more difficult than the example. However, I'm fine with the way she teaches us.",Acceptance,2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 104,Information Management,"The way she teach is okay...just don't make the all the topics or lessons be in 1 day.
Example: We have 8 Topics or Lessons....In every time we take the class 1-5 topics will be discussed in that day...no time for students to let the informations sink in..",Acceptance
2024-2025,Summer,Master in Information Technology,MIT 209,Data Analytics,More time since summer has a shorter length for classes compared to normal semester,Acceptance,2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 105,Application Development and Emerging Technologies,He guides students who has concerns about the lesson and give an advice or idea about their concerns,Acceptance,2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 103,Data Structures and Algorithms,"She's a good teacher, it's just that I occasionally miss things because her voice is often soft.",Acceptance,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 139,IT Elective 1,I hope she will change her teaching skills make it more bearable and give justice to the subject matter. I know she can do best!! :),Acceptance
2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 131,Advanced Database Systems,"more on after lesson activities (like hands on coding, that [PROFESSOR] was already doing in database subject), even if its not graded, just so we know how and whats the purpose of the topic we had just discussed. ",Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,SIPP 125,Social Issues and Professional Practice,Interactive,Acceptance,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 139,IT Elective 1,Strict si ma'am pero understandable naman.,Acceptance,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 131,Advanced Database Systems,"only if you have lot of time for the subject matter I would appreciate it more! but we do understand that you have a lot things to do specially you're an adviser, a panellist and a father. workaholic ka masyado sir!! palapag na lng sir ppt ng machine learning thanks!! :)",Acceptance
2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 135,Systems Integration and Architecture,Learning materials and the way a prof teaches the course,Acceptance,2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 105,Application Development and Emerging Technologies,understanding towards students,Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,WD 123,Web Development 2,Late pero ok na,Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 104,Information Management,The teacher only read PowerPoint please explain,Disappointment
2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 103,Data Structures and Algorithms,more group activities/quicker pace on lessons,Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,SIPP 125,Social Issues and Professional Practice,The stock knowledge and information about the topics.,Acceptance,,,,,,"I like Sir [PROFESSOR] and his teaching methods. However, there are times when I feel a bit overwhelmed by the volume of materials and PowerPoint presentations he shares in our group chat. But I understand that his intention is to provide us with comprehensive resources.",Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,WD 123,Web Development 2,Improve quality of teaching as overall,Acceptance
2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 139,Web Programming and Development,Acknowledge different coding standard,Acceptance,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 135,Systems Integration and Architecture,He knows what he is saying.,Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,SIPP 125,Social Issues and Professional Practice,Lacking communication(understandable because of busy schedules),Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 101,Computer Programming 1,"Overall it was not the worse one I have went through, there is still room for improvement.",Acceptance
2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 105,"Application Development and 
Emerging Technologies",More reliable source or instructions.,Acceptance,2024-2025,1st Semester,Associate in Computer Technology Major in Networking,ACT 213,Professional Issue in Computer,Strict and straight to the point,Acceptance,,,,,,"I just hope that [PROFESSOR] can give us students more heads up on certain assessments. Other than that, I enjoyed learning during Sir [PROFESSOR] class!",Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 101,Computer Programming 1,Make coding fun?,Boredom
2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 140,CS Elective 2,Be more resourceful and make more time for the class.,Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 103,Data Structures and Algorithms,I like how sir stilll implements prayers before and after class,Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,DS 111,Discrete Structures 1,A but fast for teaching but its managable,Acceptance,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 135,Systems Integration and Architecture,Maybe he need to touch his students Heart. All students doesn't have the same capabilities in terms of time and availability. Being considerate is not being unfair. Sometimes some student really trying their best and everything and couldn't satisfy the profs standard despite trying his best because of family problems and everything.,Acceptance
2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 139,Web Programming and Development,More time to discuss and be detailed in explaining some codes.,Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,WD 123,Web Development 2,"It is His willingness to help students that are struggling, and make up to the students.",Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 100,Introduction to Computing,"I wish he would meet more but at times when he meets, it is worthwhile",Acceptance,2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 103,Data Structures and Algorithms,i hope to focus more on skill-based learning than making essays and so on,Acceptance
2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 137,Web Systems and Technologies,Learning materials and the way a prof teaches the course and activities related to the course outcome,Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,NC 127,Networks and Communications,it is His empathy toward the students,Acceptance,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 135,Systems Integration and Architecture,Direct to the point,Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 105,Application Development and Emerging Technologies,"More lab time, because we learn more in doing rather than reading",Acceptance
2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 133,Networking 2,More related activities,Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,MAD 121,Mobile App Development,Explanation,Acceptance,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 135,Systems Integration and Architecture,"I like the instructor's teaching style, but I sometimes dislike their strictness about time.",Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 137,Software Engineering 1,More time for system design for the first semester,Acceptance
2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 131,Advanced Database Systems,Lesson materials,Acceptance,2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 105,Application Development and Emerging Technologies,by being strict but also being able to find time to make the students enjoy the course,Acceptance,2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 105,Application Development and Emerging Technologies,"None. Well, his time was originally meant only for the lab, so we're really thankful that he takes the time to lecture with us and trusts our ability to learn through it.",Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 135,Advanced Database Systems,Better feedback to student work,Acceptance
2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 135,Advanced Database Systems,less reporting. more teaching of real-world database application or guidance.,Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,WD 123,Web Development 2,[PROFESSOR] consideration and acknowledging the students' limitation.,Acceptance,2024-2025,2nd Semester,Bachelor of Science in Information Technology,IT 222,Networking 1,Recitations,Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 135,Advanced Database Systems,Reduce work.,Acceptance
2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 105,Application Development and Emerging Technologies,Latest learning materials,Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 105,Application Development and Emerging Technologies,"considerate and understands the student, validates their opinion, and knows how to vibe with them.",Acceptance,2024-2025,2nd Semester,Bachelor of Science in Computer Science,HCI 116,Human Computer Interaction,"none, just lack of time",Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 135,Advanced Database Systems,Be more active in teaching,Acceptance
2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 105,Application Development and Emerging Technologies,onsite coding examples and have more teaching time,Acceptance,2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 103,Data Structures and Algorithms,"One positive aspect of her teaching is her effort to present the PowerPoint and introduce the basics of the lessons. However, these only happen for a few times and ar not consistent, so there’s potential for improvement in maintaining ths standard across all lessons.",Acceptance,2024-2025,2nd Semester,Bachelor of Science in Computer Science,CC 102,Computer Programming 2,Challenging activities,Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 137,Software Engineering 1,Teach us really and be open on ideas.,Acceptance
2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 137,Web Systems and Technologies,Like teaching the whole basics of coding not only the basics but the basics function of it,Acceptance,2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 104,Information Management,Being chill and strict/serious at the same time,Acceptance,2024-2025,2nd Semester,Bachelor of Science in Computer Science,CC 102,Computer Programming 2,Sometimes he does give us over the top activities for us but i know he did it for a better and for helping us improve in programming,Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,NC 127,Networks and Communications,Improve unclearness,Acceptance
2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 105,Application Development and Emerging Technologies,Teaching about a certain programming language and make  a sample code,Acceptance,2024-2025,1st Semester,Bachelor of Science in Information Technology,CS 143,Thesis 2,Adopt on current state/changes,Acceptance,2024-2025,2nd Semester,Bachelor of Science in Computer Science,CC 102,Computer Programming 2,Sometimes the challenges get a bit too hard yet it is stilll a worthwhile class to be in,Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,WD 123,Web Development 2,Need more teaching.,Acceptance
2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 105,Application Development and Emerging Technologies,"Not sure, But keeping it on heavy practical activities is a good thing. ",Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,SIPP 125,Social Issues and Professional Practice,open to discuss sensitive topic,Acceptance,2024-2025,2nd Semester,Bachelor of Science in Computer Science,DS 112,Discrete Structures 1,Sometimes there are on the spot changes but its fine becuase sometimes those were emergencies,Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,WD 123,Web Development 2,Less information dumping so that students can absorb more without being overwhelmed,Acceptance
2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 131,Advanced Database Systems,More time in teaching databases,Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 100,Introduction to Computing,Distant teaching making students to have convenient school and work time,Acceptance,2024-2025,2nd Semester,Bachelor of Science in Computer Science,HCI 116,Human Computer Interaction,Sometimes her ways are hard to apply during application but for me i think im the one that needs to improve more,Acceptance,,,,,,"I wish it was more fun, engaging or interactive.",Boredom
2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 105,Application Development and Emerging Technologies,better computers,Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 104,Information Management,Make up classes,Acceptance,2024-2025,2nd Semester,Bachelor of Science in Information Technology,IT 130,Information Assurance and Security 1,"not meeting us regularly i mean he meets us to teach but not that regularly. but i guess it is his way for us to learn on our own. and based on my observation in my  improvements in programming, i think it's effective.",Acceptance,,,,,,Try to be more energetic sir,Boredom
2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 140,CS Elective 2,time management,Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 101,Computer Programming 1,Being realistic in all classes,Acceptance,2024-2025,2nd Semester,Bachelor of Science in Information Technology,IT 130,Information Assurance and Security 1,"What I liked least in our instructor's teaching is that she can be unpredictable at times, especially with the punishments given to those who are not paying attention—it can feel quite sudden or shocking. However, I understand that it’s meant to help us improve our behavior and discipline as part of the learning process. Additionally, there are moments when her instructions are not immediately clear, which can cause some confusion during activities.",Acceptance,,,,,,"To enhance the effectiveness of teaching the course, it would be beneficial to keep students engaged by explaining concepts in the instructor's own words and relating them to real-life examples.",Boredom
2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 140,CS Elective 2,Further expand the lessons,Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 101,Computer Programming 1,always present,Acceptance,2024-2025,2nd Semester,Bachelor of Science in Information Technology,IT 134,Social and Professional Practice,"It's not that I disliked anything, but sometimes the real-life examples and explanations took up a lot of time, leaving less room for the rest of the discussion. However, it was still worthwhile since those explanations helped us understand different perspectives more deeply.",Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 139,Web Programming and Development,"Sure im bias, I might get low grades but that's my fault. Still, the only teacher that I may find his teaching method quite effective.",Acceptance
2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 137,Software Engineering 1,Teach,Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,DS 111,Discrete Structures 1,Always present,Acceptance,2024-2025,2nd Semester,Bachelor of Science in Computer Science,OOP 112,Object-Oriented Programming,slow and steady,Acceptance,,,,,,"Expand the tests/exams/quizzes beyond memorization of the meaning behind the topics, rather have it as an applied situation in real life happenings ",Acceptance
2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 135,Systems Integration and Architecture,"I would recommend incorporating more engaging teaching methods to make the course more dynamic and interactive. For instance, integrating group discussions, hands-on activities, or real-world examples could enhance student interest and participation.

Regarding assessments, it would be helpful to adopt a more inclusive quiz format that caters to different learning styles. Providing written copies of the questions alongside verbal instructions or allowing a slightly extended time limit could create a fairer and less stressful environment for all students.",Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 101,Computer Programming 1,Always present,Acceptance,2024-2025,2nd Semester,Associate in Computer Technology Major in Networking,ACT 221,Internship,More prioritization,Acceptance,,,,,,the course is not for the newbie,Disappointment
2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 137,Software Engineering 1,Add enough time to teach students,Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 101,Computer Programming 1,Always present,Acceptance,2024-2025,2nd Semester,Bachelor of Science in Computer Science,CS 138,CS Elective 3,Communication,Acceptance,,,,,,Advance study could be conducted in this course,Acceptance
2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 135,Advanced Database Systems,Teach properly with the correct lesson plan aligned with the subject course,Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 100,Introduction to Computing,Always present,Acceptance,2024-2025,2nd Semester,Bachelor of Science in Information Technology,IT 130,Information Assurance and Security 1,Assignments,Acceptance,,,,,,"We did not get to meet our professor frequently in school which was kind of a bum because it was one of the fun and entertaining subjects for me personally, but understandable enough because of other responsibilities in life. See you around Sir! ",Acceptance
2024-2025,1st Semester,Associate in Computer Technology Major in Networking,ACT 213,Professional Issue in Computer,Giving a chance,Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 101,Computer Programming 1,He at the very least showed some proficiency in programming.,Acceptance,2024-2025,2nd Semester,Bachelor of Science in Information Technology,IT 130,Information Assurance and Security 1,ACTIVITIES,Acceptance,,,,,,"Regardless of what I suggested above, I also have a problem of my own in understanding things which made my INC grade makes sense therefore I will try to improve myself too for the next school year. (Thank you for understanding and effort ma’am! See you when we’ll work on our INC remarksXD)",Acceptance
2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 131,Advanced Database Systems,i have no major changes because the prof executed his job well the only problem was the time and the scheduling that's why. so if there is one thing i wanna change its the scheduling.,Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 101,Computer Programming 1,They know what they are doing,Acceptance,2024-2025,2nd Semester,Bachelor of Science in Information Technology,IT 130,Information Assurance and Security 1,Needs time to demonstrate especially situations in some every action like situation in a lesson that rarely happen but struggling to emphasize what is it.,Acceptance,,,,,,Bit late on class sometimes but will respond.,Acceptance
2024-2025,1st Semester,Bachelor of Science in Computer Science,MAD 121,Mobile App Development,More topics regarding to the subject,Acceptance,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 135,Systems Integration and Architecture,"It's all good, it's only on how he interact with his students.",Acceptance,2024-2025,2nd Semester,Bachelor of Science in Information Technology,IT 121,Object-Oriented Programming,His announcing time if he cannot meet the class,Acceptance,,,,,,More time ig,Acceptance
2024-2025,1st Semester,Bachelor of Science in Computer Science,Networks and Communications,Networks and Communication,"Include more hands-on activities related to setting up routers, switch, etc",Acceptance,2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 105,Application Development and Emerging Technologies,"First, I really appreciate that we are given plenty of time by our instructor to finish our requirements, including designated lecture time to work on our projects. 

Next, during discussions, our teacher not only covers the subject matter but also imparts valuable life lessons. While these lessons may seem a bit harsh at times, they are incredibly useful in real life. 

Finally, I find the subject enjoyable, though I often experience a significant amount of pressure and stress.",Acceptance,2024-2025,2nd Semester,Associate in Computer Technology Major in Networking,CC 101,Computer Programming 1,she gave us many activities,Acceptance,,,,,,Time,Acceptance
2024-2025,1st Semester,Bachelor of Science in Computer Science,WD 123,Web Development 2,"More in-depth discussion, breaking complex concepts into smaller digestible topics, and improved hands-on activities.",Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,NC 127,Networks and Communications,Loud voice,Acceptance,2024-2025,2nd Semester,Bachelor of Science in Information Technology,CC 102,Computer Programming 2,Same as the like one. Despite it being really helpful it was tough.,Acceptance,,,,,,"If the student really puts effort into the project, I think it’s only fair to be considerate and not fail them. (Genuine Comment <3)",Acceptance
2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 104,Information Management,Easy explanation of the topic,Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 105,Application Development and Emerging Technologies,Their tone of speaking,Acceptance,2024-2025,2nd Semester,Bachelor of Science in Information Technology,CC 102,Computer Programming 2,tricky question that's hard to answer,Acceptance,,,,,,More classes,Acceptance
2024-2025,1st Semester,Bachelor of Science in Computer Science,WD 123,Web Development 2,"More approachable way of teaching, and a much clearer and simpler teaching",Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 105,Application Development and Emerging Technologies,What I like is the prayers before and after the classs and also on how he encourage us to study more and believe in ourselves,Acceptance,2024-2025,2nd Semester,Bachelor of Science in Information Technology,IT 225,Advanced Database Systems,it would be better to focus more on difficult and extensive lessons,Acceptance,,,,,,Nothing too outstanding. A consistent class that I have learned a thing or two from.,Acceptance
2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 105,Application Development and Emerging Technologies,more unit,Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 131,Automata Theory and Formal Languages,The vibes in the classroom is like it gives a fatherly vibes,Acceptance,2024-2025,2nd Semester,Bachelor of Science in Information Technology,CC 102,Computer Programming 2,Explain clearly,Acceptance,,,,,,I understand that her approach is meant to shape our discipline and encourage us to think independently.,Acceptance
